month,country,topic,share_of_messages
2024-07-01,CA,Multimedia,0.020
2024-07-01,CA,Other/Unknown,0.023
2024-07-01,CA,Practical Guidance,0.260
2024-07-01,CA,Seeking information,0.168
2024-07-01,CA,Self-expression,0.022
2024-07-01,CA,Technical help,0.121
2024-07-01,CA,Writing,0.386
2024-07-01,CD,Multimedia,0.022
2024-07-01,CD,Other/Unknown,0.087
2024-07-01,CD,Practical Guidance,0.187
2024-07-01,CD,Seeking information,0.230
2024-07-01,CD,Self-expression,0.076
2024-07-01,CD,Technical help,0.053
2024-07-01,CD,Writing,0.344
2024-07-01,CH,Multimedia,0.025
2024-07-01,CH,Other/Unknown,0.030
2024-07-01,CH,Practical Guidance,0.201
2024-07-01,CH,Seeking information,0.171
2024-07-01,CH,Self-expression,0.017
2024-07-01,CH,Technical help,0.109
2024-07-01,CH,Writing,0.447
2024-07-01,CI,Multimedia,0.020
2024-07-01,CI,Other/Unknown,0.017
2024-07-01,CI,Practical Guidance,0.320
2024-07-01,CI,Seeking information,0.171
2024-07-01,CI,Self-expression,0.075
2024-07-01,CI,Technical help,0.098
2024-07-01,CI,Writing,0.299
2024-07-01,CL,Multimedia,0.022
2024-07-01,CL,Other/Unknown,0.031
2024-07-01,CL,Practical Guidance,0.308
2024-07-01,CL,Seeking information,0.170
2024-07-01,CL,Self-expression,0.041
2024-07-01,CL,Technical help,0.117
2024-07-01,CL,Writing,0.311
2024-07-01,CM,Multimedia,0.004
2024-07-01,CM,Other/Unknown,0.016
2024-07-01,CM,Practical Guidance,0.263
2024-07-01,CM,Seeking information,0.210
2024-07-01,CM,Self-expression,0.037
2024-07-01,CM,Technical help,0.121
2024-07-01,CM,Writing,0.347
2024-07-01,CO,Multimedia,0.018
2024-07-01,CO,Other/Unknown,0.035
2024-07-01,CO,Practical Guidance,0.313
2024-07-01,CO,Seeking information,0.176
2024-07-01,CO,Self-expression,0.036
2024-07-01,CO,Technical help,0.097
2024-07-01,CO,Writing,0.325
2024-07-01,CR,Multimedia,0.017
2024-07-01,CR,Other/Unknown,0.031
2024-07-01,CR,Practical Guidance,0.274
2024-07-01,CR,Seeking information,0.199
2024-07-01,CR,Self-expression,0.037
2024-07-01,CR,Technical help,0.123
2024-07-01,CR,Writing,0.318
2024-07-01,CY,Multimedia,0.043
2024-07-01,CY,Other/Unknown,0.017
2024-07-01,CY,Practical Guidance,0.212
2024-07-01,CY,Seeking information,0.172
2024-07-01,CY,Self-expression,0.037
2024-07-01,CY,Technical help,0.135
2024-07-01,CY,Writing,0.384
2024-07-01,CZ,Multimedia,0.043
2024-07-01,CZ,Other/Unknown,0.025
2024-07-01,CZ,Practical Guidance,0.237
2024-07-01,CZ,Seeking information,0.233
2024-07-01,CZ,Self-expression,0.042
2024-07-01,CZ,Technical help,0.114
2024-07-01,CZ,Writing,0.307
2024-07-01,DE,Multimedia,0.023
2024-07-01,DE,Other/Unknown,0.028
2024-07-01,DE,Practical Guidance,0.260
2024-07-01,DE,Seeking information,0.158
2024-07-01,DE,Self-expression,0.027
2024-07-01,DE,Technical help,0.121
2024-07-01,DE,Writing,0.383
2024-07-01,DK,Multimedia,0.021
2024-07-01,DK,Other/Unknown,0.029
2024-07-01,DK,Practical Guidance,0.231
2024-07-01,DK,Seeking information,0.206
2024-07-01,DK,Self-expression,0.031
2024-07-01,DK,Technical help,0.117
2024-07-01,DK,Writing,0.365
2024-07-01,DO,Multimedia,0.020
2024-07-01,DO,Other/Unknown,0.033
2024-07-01,DO,Practical Guidance,0.339
2024-07-01,DO,Seeking information,0.216
2024-07-01,DO,Self-expression,0.039
2024-07-01,DO,Technical help,0.089
2024-07-01,DO,Writing,0.265
2024-07-01,DZ,Multimedia,0.025
2024-07-01,DZ,Other/Unknown,0.053
2024-07-01,DZ,Practical Guidance,0.236
2024-07-01,DZ,Seeking information,0.193
2024-07-01,DZ,Self-expression,0.049
2024-07-01,DZ,Technical help,0.090
2024-07-01,DZ,Writing,0.354
2024-07-01,EC,Multimedia,0.015
2024-07-01,EC,Other/Unknown,0.027
2024-07-01,EC,Practical Guidance,0.365
2024-07-01,EC,Seeking information,0.203
2024-07-01,EC,Self-expression,0.021
2024-07-01,EC,Technical help,0.092
2024-07-01,EC,Writing,0.277
2024-07-01,EE,Multimedia,0.039
2024-07-01,EE,Other/Unknown,0.060
2024-07-01,EE,Practical Guidance,0.132
2024-07-01,EE,Seeking information,0.221
2024-07-01,EE,Self-expression,0.077
2024-07-01,EE,Technical help,0.138
2024-07-01,EE,Writing,0.332
2024-07-01,EG,Multimedia,0.024
2024-07-01,EG,Other/Unknown,0.048
2024-07-01,EG,Practical Guidance,0.242
2024-07-01,EG,Seeking information,0.155
2024-07-01,EG,Self-expression,0.053
2024-07-01,EG,Technical help,0.171
2024-07-01,EG,Writing,0.307
2024-07-01,ES,Multimedia,0.022
2024-07-01,ES,Other/Unknown,0.028
2024-07-01,ES,Practical Guidance,0.254
2024-07-01,ES,Seeking information,0.188
2024-07-01,ES,Self-expression,0.032
2024-07-01,ES,Technical help,0.125
2024-07-01,ES,Writing,0.350
2024-07-01,ET,Multimedia,0.024
2024-07-01,ET,Other/Unknown,0.025
2024-07-01,ET,Practical Guidance,0.283
2024-07-01,ET,Seeking information,0.153
2024-07-01,ET,Self-expression,0.041
2024-07-01,ET,Technical help,0.184
2024-07-01,ET,Writing,0.290
2024-07-01,FI,Multimedia,0.011
2024-07-01,FI,Other/Unknown,0.035
2024-07-01,FI,Practical Guidance,0.237
2024-07-01,FI,Seeking information,0.177
2024-07-01,FI,Self-expression,0.039
2024-07-01,FI,Technical help,0.137
2024-07-01,FI,Writing,0.365
2024-07-01,FR,Multimedia,0.021
2024-07-01,FR,Other/Unknown,0.027
2024-07-01,FR,Practical Guidance,0.198
2024-07-01,FR,Seeking information,0.161
2024-07-01,FR,Self-expression,0.029
2024-07-01,FR,Technical help,0.120
2024-07-01,FR,Writing,0.444
2024-07-01,GB,Multimedia,0.020
2024-07-01,GB,Other/Unknown,0.025
2024-07-01,GB,Practical Guidance,0.222
2024-07-01,GB,Seeking information,0.148
2024-07-01,GB,Self-expression,0.025
2024-07-01,GB,Technical help,0.125
2024-07-01,GB,Writing,0.435
2024-07-01,GE,Multimedia,0.048
2024-07-01,GE,Other/Unknown,0.039
2024-07-01,GE,Practical Guidance,0.301
2024-07-01,GE,Seeking information,0.188
2024-07-01,GE,Self-expression,0.059
2024-07-01,GE,Technical help,0.113
2024-07-01,GE,Writing,0.253
2024-07-01,GH,Multimedia,0.018
2024-07-01,GH,Other/Unknown,0.035
2024-07-01,GH,Practical Guidance,0.329
2024-07-01,GH,Seeking information,0.203
2024-07-01,GH,Self-expression,0.023
2024-07-01,GH,Technical help,0.102
2024-07-01,GH,Writing,0.290
2024-07-01,GR,Multimedia,0.021
2024-07-01,GR,Other/Unknown,0.032
2024-07-01,GR,Practical Guidance,0.223
2024-07-01,GR,Seeking information,0.184
2024-07-01,GR,Self-expression,0.048
2024-07-01,GR,Technical help,0.150
2024-07-01,GR,Writing,0.342
2024-07-01,GT,Multimedia,0.017
2024-07-01,GT,Other/Unknown,0.024
2024-07-01,GT,Practical Guidance,0.362
2024-07-01,GT,Seeking information,0.206
2024-07-01,GT,Self-expression,0.026
2024-07-01,GT,Technical help,0.117
2024-07-01,GT,Writing,0.248
2024-07-01,HN,Multimedia,0.021
2024-07-01,HN,Other/Unknown,0.026
2024-07-01,HN,Practical Guidance,0.303
2024-07-01,HN,Seeking information,0.213
2024-07-01,HN,Self-expression,0.025
2024-07-01,HN,Technical help,0.121
2024-07-01,HN,Writing,0.291
2024-07-01,HR,Multimedia,0.005
2024-07-01,HR,Other/Unknown,0.016
2024-07-01,HR,Practical Guidance,0.171
2024-07-01,HR,Seeking information,0.212
2024-07-01,HR,Self-expression,0.022
2024-07-01,HR,Technical help,0.204
2024-07-01,HR,Writing,0.370
2024-07-01,HT,Multimedia,0.034
2024-07-01,HT,Other/Unknown,0.029
2024-07-01,HT,Practical Guidance,0.299
2024-07-01,HT,Seeking information,0.204
2024-07-01,HT,Self-expression,0.034
2024-07-01,HT,Technical help,0.018
2024-07-01,HT,Writing,0.381
2024-07-01,HU,Multimedia,0.033
2024-07-01,HU,Other/Unknown,0.027
2024-07-01,HU,Practical Guidance,0.266
2024-07-01,HU,Seeking information,0.198
2024-07-01,HU,Self-expression,0.051
2024-07-01,HU,Technical help,0.100
2024-07-01,HU,Writing,0.325
2024-07-01,ID,Multimedia,0.014
2024-07-01,ID,Other/Unknown,0.027
2024-07-01,ID,Practical Guidance,0.316
2024-07-01,ID,Seeking information,0.177
2024-07-01,ID,Self-expression,0.027
2024-07-01,ID,Technical help,0.110
2024-07-01,ID,Writing,0.328
2024-07-01,IE,Multimedia,0.014
2024-07-01,IE,Other/Unknown,0.025
2024-07-01,IE,Practical Guidance,0.206
2024-07-01,IE,Seeking information,0.147
2024-07-01,IE,Self-expression,0.022
2024-07-01,IE,Technical help,0.155
2024-07-01,IE,Writing,0.430
2024-07-01,IL,Multimedia,0.026
2024-07-01,IL,Other/Unknown,0.028
2024-07-01,IL,Practical Guidance,0.259
2024-07-01,IL,Seeking information,0.173
2024-07-01,IL,Self-expression,0.031
2024-07-01,IL,Technical help,0.229
2024-07-01,IL,Writing,0.254
2024-07-01,IN,Multimedia,0.014
2024-07-01,IN,Other/Unknown,0.034
2024-07-01,IN,Practical Guidance,0.264
2024-07-01,IN,Seeking information,0.153
2024-07-01,IN,Self-expression,0.020
2024-07-01,IN,Technical help,0.224
2024-07-01,IN,Writing,0.291
2024-07-01,IQ,Multimedia,0.027
2024-07-01,IQ,Other/Unknown,0.052
2024-07-01,IQ,Practical Guidance,0.304
2024-07-01,IQ,Seeking information,0.228
2024-07-01,IQ,Self-expression,0.053
2024-07-01,IQ,Technical help,0.075
2024-07-01,IQ,Writing,0.260
2024-07-01,IT,Multimedia,0.022
2024-07-01,IT,Other/Unknown,0.029
2024-07-01,IT,Practical Guidance,0.243
2024-07-01,IT,Seeking information,0.191
2024-07-01,IT,Self-expression,0.033
2024-07-01,IT,Technical help,0.122
2024-07-01,IT,Writing,0.360
2024-07-01,JM,Multimedia,0.024
2024-07-01,JM,Other/Unknown,0.013
2024-07-01,JM,Practical Guidance,0.341
2024-07-01,JM,Seeking information,0.147
2024-07-01,JM,Self-expression,0.000
2024-07-01,JM,Technical help,0.100
2024-07-01,JM,Writing,0.374
2024-07-01,JO,Multimedia,0.006
2024-07-01,JO,Other/Unknown,0.053
2024-07-01,JO,Practical Guidance,0.206
2024-07-01,JO,Seeking information,0.159
2024-07-01,JO,Self-expression,0.027
2024-07-01,JO,Technical help,0.136
2024-07-01,JO,Writing,0.413
2024-07-01,JP,Multimedia,0.025
2024-07-01,JP,Other/Unknown,0.032
2024-07-01,JP,Practical Guidance,0.251
2024-07-01,JP,Seeking information,0.155
2024-07-01,JP,Self-expression,0.038
2024-07-01,JP,Technical help,0.170
2024-07-01,JP,Writing,0.329
2024-07-01,KE,Multimedia,0.008
2024-07-01,KE,Other/Unknown,0.032
2024-07-01,KE,Practical Guidance,0.340
2024-07-01,KE,Seeking information,0.213
2024-07-01,KE,Self-expression,0.030
2024-07-01,KE,Technical help,0.099
2024-07-01,KE,Writing,0.279
2024-07-01,KG,Multimedia,0.062
2024-07-01,KG,Other/Unknown,0.054
2024-07-01,KG,Practical Guidance,0.189
2024-07-01,KG,Seeking information,0.136
2024-07-01,KG,Self-expression,0.106
2024-07-01,KG,Technical help,0.108
2024-07-01,KG,Writing,0.347
2024-07-01,KH,Multimedia,0.007
2024-07-01,KH,Other/Unknown,0.002
2024-07-01,KH,Practical Guidance,0.257
2024-07-01,KH,Seeking information,0.153
2024-07-01,KH,Self-expression,0.074
2024-07-01,KH,Technical help,0.134
2024-07-01,KH,Writing,0.373
2024-07-01,KR,Multimedia,0.032
2024-07-01,KR,Other/Unknown,0.034
2024-07-01,KR,Practical Guidance,0.232
2024-07-01,KR,Seeking information,0.148
2024-07-01,KR,Self-expression,0.038
2024-07-01,KR,Technical help,0.174
2024-07-01,KR,Writing,0.343
2024-07-01,KW,Multimedia,0.003
2024-07-01,KW,Other/Unknown,0.000
2024-07-01,KW,Practical Guidance,0.288
2024-07-01,KW,Seeking information,0.148
2024-07-01,KW,Self-expression,0.043
2024-07-01,KW,Technical help,0.098
2024-07-01,KW,Writing,0.419
2024-07-01,KZ,Multimedia,0.019
2024-07-01,KZ,Other/Unknown,0.044
2024-07-01,KZ,Practical Guidance,0.253
2024-07-01,KZ,Seeking information,0.208
2024-07-01,KZ,Self-expression,0.039
2024-07-01,KZ,Technical help,0.138
2024-07-01,KZ,Writing,0.299
2024-07-01,LB,Multimedia,0.029
2024-07-01,LB,Other/Unknown,0.046
2024-07-01,LB,Practical Guidance,0.199
2024-07-01,LB,Seeking information,0.162
2024-07-01,LB,Self-expression,0.063
2024-07-01,LB,Technical help,0.140
2024-07-01,LB,Writing,0.362
2024-07-01,LK,Multimedia,0.025
2024-07-01,LK,Other/Unknown,0.032
2024-07-01,LK,Practical Guidance,0.284
2024-07-01,LK,Seeking information,0.131
2024-07-01,LK,Self-expression,0.018
2024-07-01,LK,Technical help,0.158
2024-07-01,LK,Writing,0.350
2024-07-01,LT,Multimedia,0.024
2024-07-01,LT,Other/Unknown,0.049
2024-07-01,LT,Practical Guidance,0.239
2024-07-01,LT,Seeking information,0.204
2024-07-01,LT,Self-expression,0.047
2024-07-01,LT,Technical help,0.123
2024-07-01,LT,Writing,0.315
2024-07-01,LU,Multimedia,0.017
2024-07-01,LU,Other/Unknown,0.008
2024-07-01,LU,Practical Guidance,0.238
2024-07-01,LU,Seeking information,0.191
2024-07-01,LU,Self-expression,0.034
2024-07-01,LU,Technical help,0.124
2024-07-01,LU,Writing,0.387
2024-07-01,LV,Multimedia,0.027
2024-07-01,LV,Other/Unknown,0.066
2024-07-01,LV,Practical Guidance,0.253
2024-07-01,LV,Seeking information,0.128
2024-07-01,LV,Self-expression,0.048
2024-07-01,LV,Technical help,0.145
2024-07-01,LV,Writing,0.333
2024-07-01,LY,Multimedia,0.024
2024-07-01,LY,Other/Unknown,0.072
2024-07-01,LY,Practical Guidance,0.287
2024-07-01,LY,Seeking information,0.168
2024-07-01,LY,Self-expression,0.071
2024-07-01,LY,Technical help,0.083
2024-07-01,LY,Writing,0.295
2024-07-01,MA,Multimedia,0.017
2024-07-01,MA,Other/Unknown,0.041
2024-07-01,MA,Practical Guidance,0.238
2024-07-01,MA,Seeking information,0.163
2024-07-01,MA,Self-expression,0.037
2024-07-01,MA,Technical help,0.107
2024-07-01,MA,Writing,0.397
2024-07-01,MD,Multimedia,0.041
2024-07-01,MD,Other/Unknown,0.053
2024-07-01,MD,Practical Guidance,0.207
2024-07-01,MD,Seeking information,0.159
2024-07-01,MD,Self-expression,0.058
2024-07-01,MD,Technical help,0.175
2024-07-01,MD,Writing,0.306
2024-07-01,MG,Multimedia,0.000
2024-07-01,MG,Other/Unknown,0.047
2024-07-01,MG,Practical Guidance,0.267
2024-07-01,MG,Seeking information,0.159
2024-07-01,MG,Self-expression,0.017
2024-07-01,MG,Technical help,0.128
2024-07-01,MG,Writing,0.382
2024-07-01,MM,Multimedia,0.021
2024-07-01,MM,Other/Unknown,0.024
2024-07-01,MM,Practical Guidance,0.316
2024-07-01,MM,Seeking information,0.141
2024-07-01,MM,Self-expression,0.048
2024-07-01,MM,Technical help,0.114
2024-07-01,MM,Writing,0.336
2024-07-01,MT,Multimedia,0.000
2024-07-01,MT,Other/Unknown,0.022
2024-07-01,MT,Practical Guidance,0.182
2024-07-01,MT,Seeking information,0.035
2024-07-01,MT,Self-expression,0.043
2024-07-01,MT,Technical help,0.168
2024-07-01,MT,Writing,0.551
2024-07-01,MU,Multimedia,0.011
2024-07-01,MU,Other/Unknown,0.053
2024-07-01,MU,Practical Guidance,0.293
2024-07-01,MU,Seeking information,0.064
2024-07-01,MU,Self-expression,0.050
2024-07-01,MU,Technical help,0.141
2024-07-01,MU,Writing,0.389
2024-07-01,MW,Multimedia,0.060
2024-07-01,MW,Other/Unknown,0.067
2024-07-01,MW,Practical Guidance,0.300
2024-07-01,MW,Seeking information,0.099
2024-07-01,MW,Self-expression,0.000
2024-07-01,MW,Technical help,0.055
2024-07-01,MW,Writing,0.419
2024-07-01,MX,Multimedia,0.022
2024-07-01,MX,Other/Unknown,0.029
2024-07-01,MX,Practical Guidance,0.304
2024-07-01,MX,Seeking information,0.201
2024-07-01,MX,Self-expression,0.048
2024-07-01,MX,Technical help,0.106
2024-07-01,MX,Writing,0.289
2024-07-01,MY,Multimedia,0.017
2024-07-01,MY,Other/Unknown,0.029
2024-07-01,MY,Practical Guidance,0.283
2024-07-01,MY,Seeking information,0.147
2024-07-01,MY,Self-expression,0.027
2024-07-01,MY,Technical help,0.080
2024-07-01,MY,Writing,0.416
2024-07-01,MZ,Multimedia,0.000
2024-07-01,MZ,Other/Unknown,0.076
2024-07-01,MZ,Practical Guidance,0.350
2024-07-01,MZ,Seeking information,0.163
2024-07-01,MZ,Self-expression,0.005
2024-07-01,MZ,Technical help,0.108
2024-07-01,MZ,Writing,0.296
2024-07-01,NG,Multimedia,0.017
2024-07-01,NG,Other/Unknown,0.034
2024-07-01,NG,Practical Guidance,0.269
2024-07-01,NG,Seeking information,0.184
2024-07-01,NG,Self-expression,0.032
2024-07-01,NG,Technical help,0.089
2024-07-01,NG,Writing,0.374
2024-07-01,NI,Multimedia,0.021
2024-07-01,NI,Other/Unknown,0.013
2024-07-01,NI,Practical Guidance,0.355
2024-07-01,NI,Seeking information,0.198
2024-07-01,NI,Self-expression,0.044
2024-07-01,NI,Technical help,0.045
2024-07-01,NI,Writing,0.325
2024-07-01,NL,Multimedia,0.020
2024-07-01,NL,Other/Unknown,0.027
2024-07-01,NL,Practical Guidance,0.215
2024-07-01,NL,Seeking information,0.155
2024-07-01,NL,Self-expression,0.028
2024-07-01,NL,Technical help,0.141
2024-07-01,NL,Writing,0.414
2024-07-01,NO,Multimedia,0.039
2024-07-01,NO,Other/Unknown,0.023
2024-07-01,NO,Practical Guidance,0.226
2024-07-01,NO,Seeking information,0.212
2024-07-01,NO,Self-expression,0.021
2024-07-01,NO,Technical help,0.118
2024-07-01,NO,Writing,0.361
2024-07-01,NP,Multimedia,0.013
2024-07-01,NP,Other/Unknown,0.040
2024-07-01,NP,Practical Guidance,0.307
2024-07-01,NP,Seeking information,0.168
2024-07-01,NP,Self-expression,0.027
2024-07-01,NP,Technical help,0.152
2024-07-01,NP,Writing,0.292
2024-07-01,NZ,Multimedia,0.019
2024-07-01,NZ,Other/Unknown,0.041
2024-07-01,NZ,Practical Guidance,0.217
2024-07-01,NZ,Seeking information,0.162
2024-07-01,NZ,Self-expression,0.025
2024-07-01,NZ,Technical help,0.104
2024-07-01,NZ,Writing,0.433
2024-07-01,OM,Multimedia,0.025
2024-07-01,OM,Other/Unknown,0.014
2024-07-01,OM,Practical Guidance,0.285
2024-07-01,OM,Seeking information,0.115
2024-07-01,OM,Self-expression,0.044
2024-07-01,OM,Technical help,0.121
2024-07-01,OM,Writing,0.396
2024-07-01,PA,Multimedia,0.014
2024-07-01,PA,Other/Unknown,0.034
2024-07-01,PA,Practical Guidance,0.326
2024-07-01,PA,Seeking information,0.235
2024-07-01,PA,Self-expression,0.026
2024-07-01,PA,Technical help,0.079
2024-07-01,PA,Writing,0.286
2024-07-01,PE,Multimedia,0.018
2024-07-01,PE,Other/Unknown,0.032
2024-07-01,PE,Practical Guidance,0.312
2024-07-01,PE,Seeking information,0.204
2024-07-01,PE,Self-expression,0.027
2024-07-01,PE,Technical help,0.092
2024-07-01,PE,Writing,0.315
2024-07-01,PH,Multimedia,0.008
2024-07-01,PH,Other/Unknown,0.030
2024-07-01,PH,Practical Guidance,0.258
2024-07-01,PH,Seeking information,0.140
2024-07-01,PH,Self-expression,0.030
2024-07-01,PH,Technical help,0.074
2024-07-01,PH,Writing,0.461
2024-07-01,PK,Multimedia,0.014
2024-07-01,PK,Other/Unknown,0.036
2024-07-01,PK,Practical Guidance,0.273
2024-07-01,PK,Seeking information,0.150
2024-07-01,PK,Self-expression,0.027
2024-07-01,PK,Technical help,0.154
2024-07-01,PK,Writing,0.345
2024-07-01,PL,Multimedia,0.024
2024-07-01,PL,Other/Unknown,0.034
2024-07-01,PL,Practical Guidance,0.245
2024-07-01,PL,Seeking information,0.202
2024-07-01,PL,Self-expression,0.033
2024-07-01,PL,Technical help,0.139
2024-07-01,PL,Writing,0.323
2024-07-01,PR,Multimedia,0.006
2024-07-01,PR,Other/Unknown,0.041
2024-07-01,PR,Practical Guidance,0.264
2024-07-01,PR,Seeking information,0.194
2024-07-01,PR,Self-expression,0.048
2024-07-01,PR,Technical help,0.052
2024-07-01,PR,Writing,0.395
2024-07-01,PS,Multimedia,0.053
2024-07-01,PS,Other/Unknown,0.000
2024-07-01,PS,Practical Guidance,0.332
2024-07-01,PS,Seeking information,0.248
2024-07-01,PS,Self-expression,0.028
2024-07-01,PS,Technical help,0.126
2024-07-01,PS,Writing,0.213
2024-07-01,PT,Multimedia,0.013
2024-07-01,PT,Other/Unknown,0.030
2024-07-01,PT,Practical Guidance,0.247
2024-07-01,PT,Seeking information,0.175
2024-07-01,PT,Self-expression,0.039
2024-07-01,PT,Technical help,0.135
2024-07-01,PT,Writing,0.361
2024-07-01,PY,Multimedia,0.019
2024-07-01,PY,Other/Unknown,0.029
2024-07-01,PY,Practical Guidance,0.362
2024-07-01,PY,Seeking information,0.193
2024-07-01,PY,Self-expression,0.081
2024-07-01,PY,Technical help,0.091
2024-07-01,PY,Writing,0.224
2024-07-01,QA,Multimedia,0.037
2024-07-01,QA,Other/Unknown,0.015
2024-07-01,QA,Practical Guidance,0.209
2024-07-01,QA,Seeking information,0.161
2024-07-01,QA,Self-expression,0.014
2024-07-01,QA,Technical help,0.107
2024-07-01,QA,Writing,0.457
2024-07-01,RO,Multimedia,0.020
2024-07-01,RO,Other/Unknown,0.039
2024-07-01,RO,Practical Guidance,0.239
2024-07-01,RO,Seeking information,0.182
2024-07-01,RO,Self-expression,0.046
2024-07-01,RO,Technical help,0.144
2024-07-01,RO,Writing,0.330
2024-07-01,RS,Multimedia,0.009
2024-07-01,RS,Other/Unknown,0.033
2024-07-01,RS,Practical Guidance,0.227
2024-07-01,RS,Seeking information,0.155
2024-07-01,RS,Self-expression,0.041
2024-07-01,RS,Technical help,0.193
2024-07-01,RS,Writing,0.342
2024-07-01,RW,Multimedia,0.000
2024-07-01,RW,Other/Unknown,0.050
2024-07-01,RW,Practical Guidance,0.331
2024-07-01,RW,Seeking information,0.141
2024-07-01,RW,Self-expression,0.035
2024-07-01,RW,Technical help,0.143
2024-07-01,RW,Writing,0.301
2024-07-01,SA,Multimedia,0.017
2024-07-01,SA,Other/Unknown,0.039
2024-07-01,SA,Practical Guidance,0.234
2024-07-01,SA,Seeking information,0.186
2024-07-01,SA,Self-expression,0.040
2024-07-01,SA,Technical help,0.068
2024-07-01,SA,Writing,0.415
2024-07-01,SC,Multimedia,0.036
2024-07-01,SC,Other/Unknown,0.009
2024-07-01,SC,Practical Guidance,0.089
2024-07-01,SC,Seeking information,0.054
