month,topic,age_group,share_of_messages
2024-10-01,Self-expression,65+,0.024
2024-10-01,Technical help,18-24,0.385
2024-10-01,Technical help,25-34,0.397
2024-10-01,Technical help,35-44,0.138
2024-10-01,Technical help,45-54,0.054
2024-10-01,Technical help,55-64,0.017
2024-10-01,Technical help,65+,0.009
2024-10-01,Writing,18-24,0.307
2024-10-01,Writing,25-34,0.393
2024-10-01,Writing,35-44,0.178
2024-10-01,Writing,45-54,0.082
2024-10-01,Writing,55-64,0.028
2024-10-01,Writing,65+,0.012
2024-11-01,Multimedia,18-24,0.320
2024-11-01,Multimedia,25-34,0.356
2024-11-01,Multimedia,35-44,0.182
2024-11-01,Multimedia,45-54,0.089
2024-11-01,Multimedia,55-64,0.032
2024-11-01,Multimedia,65+,0.021
2024-11-01,Other/Unknown,18-24,0.394
2024-11-01,Other/Unknown,25-34,0.340
2024-11-01,Other/Unknown,35-44,0.146
2024-11-01,Other/Unknown,45-54,0.067
2024-11-01,Other/Unknown,55-64,0.027
2024-11-01,Other/Unknown,65+,0.026
2024-11-01,Practical Guidance,18-24,0.443
2024-11-01,Practical Guidance,25-34,0.346
2024-11-01,Practical Guidance,35-44,0.125
2024-11-01,Practical Guidance,45-54,0.054
2024-11-01,Practical Guidance,55-64,0.019
2024-11-01,Practical Guidance,65+,0.014
2024-11-01,Seeking information,18-24,0.400
2024-11-01,Seeking information,25-34,0.346
2024-11-01,Seeking information,35-44,0.141
2024-11-01,Seeking information,45-54,0.067
2024-11-01,Seeking information,55-64,0.026
2024-11-01,Seeking information,65+,0.020
2024-11-01,Self-expression,18-24,0.433
2024-11-01,Self-expression,25-34,0.346
2024-11-01,Self-expression,35-44,0.125
2024-11-01,Self-expression,45-54,0.053
2024-11-01,Self-expression,55-64,0.020
2024-11-01,Self-expression,65+,0.023
2024-11-01,Technical help,18-24,0.407
2024-11-01,Technical help,25-34,0.390
2024-11-01,Technical help,35-44,0.126
2024-11-01,Technical help,45-54,0.053
2024-11-01,Technical help,55-64,0.014
2024-11-01,Technical help,65+,0.010
2024-11-01,Writing,18-24,0.334
2024-11-01,Writing,25-34,0.384
2024-11-01,Writing,35-44,0.166
2024-11-01,Writing,45-54,0.075
2024-11-01,Writing,55-64,0.027
2024-11-01,Writing,65+,0.014
2024-12-01,Multimedia,18-24,0.317
2024-12-01,Multimedia,25-34,0.357
2024-12-01,Multimedia,35-44,0.185
2024-12-01,Multimedia,45-54,0.085
2024-12-01,Multimedia,55-64,0.034
2024-12-01,Multimedia,65+,0.022
2024-12-01,Other/Unknown,18-24,0.396
2024-12-01,Other/Unknown,25-34,0.341
2024-12-01,Other/Unknown,35-44,0.147
2024-12-01,Other/Unknown,45-54,0.068
2024-12-01,Other/Unknown,55-64,0.025
2024-12-01,Other/Unknown,65+,0.023
2024-12-01,Practical Guidance,18-24,0.441
2024-12-01,Practical Guidance,25-34,0.345
2024-12-01,Practical Guidance,35-44,0.122
2024-12-01,Practical Guidance,45-54,0.054
2024-12-01,Practical Guidance,55-64,0.021
2024-12-01,Practical Guidance,65+,0.017
2024-12-01,Seeking information,18-24,0.398
2024-12-01,Seeking information,25-34,0.351
2024-12-01,Seeking information,35-44,0.139
2024-12-01,Seeking information,45-54,0.066
2024-12-01,Seeking information,55-64,0.026
2024-12-01,Seeking information,65+,0.020
2024-12-01,Self-expression,18-24,0.451
2024-12-01,Self-expression,25-34,0.334
2024-12-01,Self-expression,35-44,0.117
2024-12-01,Self-expression,45-54,0.055
2024-12-01,Self-expression,55-64,0.022
2024-12-01,Self-expression,65+,0.022
2024-12-01,Technical help,18-24,0.397
2024-12-01,Technical help,25-34,0.396
2024-12-01,Technical help,35-44,0.132
2024-12-01,Technical help,45-54,0.049
2024-12-01,Technical help,55-64,0.016
2024-12-01,Technical help,65+,0.011
2024-12-01,Writing,18-24,0.339
2024-12-01,Writing,25-34,0.383
2024-12-01,Writing,35-44,0.167
2024-12-01,Writing,45-54,0.071
2024-12-01,Writing,55-64,0.026
2024-12-01,Writing,65+,0.015
2025-01-01,Multimedia,18-24,0.294
2025-01-01,Multimedia,25-34,0.358
2025-01-01,Multimedia,35-44,0.190
2025-01-01,Multimedia,45-54,0.098
2025-01-01,Multimedia,55-64,0.035
2025-01-01,Multimedia,65+,0.026
2025-01-01,Other/Unknown,18-24,0.358
2025-01-01,Other/Unknown,25-34,0.348
2025-01-01,Other/Unknown,35-44,0.167
2025-01-01,Other/Unknown,45-54,0.071
2025-01-01,Other/Unknown,55-64,0.027
2025-01-01,Other/Unknown,65+,0.029
2025-01-01,Practical Guidance,18-24,0.407
2025-01-01,Practical Guidance,25-34,0.361
2025-01-01,Practical Guidance,35-44,0.134
2025-01-01,Practical Guidance,45-54,0.060
2025-01-01,Practical Guidance,55-64,0.021
2025-01-01,Practical Guidance,65+,0.017
2025-01-01,Seeking information,18-24,0.365
2025-01-01,Seeking information,25-34,0.358
2025-01-01,Seeking information,35-44,0.150
2025-01-01,Seeking information,45-54,0.074
2025-01-01,Seeking information,55-64,0.032
2025-01-01,Seeking information,65+,0.021
2025-01-01,Self-expression,18-24,0.405
2025-01-01,Self-expression,25-34,0.344
2025-01-01,Self-expression,35-44,0.136
2025-01-01,Self-expression,45-54,0.065
2025-01-01,Self-expression,55-64,0.024
2025-01-01,Self-expression,65+,0.026
2025-01-01,Technical help,18-24,0.356
2025-01-01,Technical help,25-34,0.409
2025-01-01,Technical help,35-44,0.147
2025-01-01,Technical help,45-54,0.057
2025-01-01,Technical help,55-64,0.019
2025-01-01,Technical help,65+,0.012
2025-01-01,Writing,18-24,0.317
2025-01-01,Writing,25-34,0.391
2025-01-01,Writing,35-44,0.173
2025-01-01,Writing,45-54,0.077
2025-01-01,Writing,55-64,0.028
2025-01-01,Writing,65+,0.015
2025-02-01,Multimedia,18-24,0.310
2025-02-01,Multimedia,25-34,0.355
2025-02-01,Multimedia,35-44,0.191
2025-02-01,Multimedia,45-54,0.088
2025-02-01,Multimedia,55-64,0.030
2025-02-01,Multimedia,65+,0.026
2025-02-01,Other/Unknown,18-24,0.356
2025-02-01,Other/Unknown,25-34,0.354
2025-02-01,Other/Unknown,35-44,0.155
2025-02-01,Other/Unknown,45-54,0.075
2025-02-01,Other/Unknown,55-64,0.032
2025-02-01,Other/Unknown,65+,0.029
2025-02-01,Practical Guidance,18-24,0.401
2025-02-01,Practical Guidance,25-34,0.361
2025-02-01,Practical Guidance,35-44,0.139
2025-02-01,Practical Guidance,45-54,0.057
2025-02-01,Practical Guidance,55-64,0.023
2025-02-01,Practical Guidance,65+,0.019
2025-02-01,Seeking information,18-24,0.367
2025-02-01,Seeking information,25-34,0.356
2025-02-01,Seeking information,35-44,0.151
2025-02-01,Seeking information,45-54,0.072
2025-02-01,Seeking information,55-64,0.031
2025-02-01,Seeking information,65+,0.023
2025-02-01,Self-expression,18-24,0.383
2025-02-01,Self-expression,25-34,0.365
2025-02-01,Self-expression,35-44,0.141
2025-02-01,Self-expression,45-54,0.062
2025-02-01,Self-expression,55-64,0.024
2025-02-01,Self-expression,65+,0.025
2025-02-01,Technical help,18-24,0.378
2025-02-01,Technical help,25-34,0.386
2025-02-01,Technical help,35-44,0.152
2025-02-01,Technical help,45-54,0.055
2025-02-01,Technical help,55-64,0.019
2025-02-01,Technical help,65+,0.011
2025-02-01,Writing,18-24,0.322
2025-02-01,Writing,25-34,0.384
2025-02-01,Writing,35-44,0.173
2025-02-01,Writing,45-54,0.078
2025-02-01,Writing,55-64,0.027
2025-02-01,Writing,65+,0.016
2025-03-01,Multimedia,18-24,0.319
2025-03-01,Multimedia,25-34,0.362
2025-03-01,Multimedia,35-44,0.184
2025-03-01,Multimedia,45-54,0.087
2025-03-01,Multimedia,55-64,0.027
2025-03-01,Multimedia,65+,0.021
2025-03-01,Other/Unknown,18-24,0.364
2025-03-01,Other/Unknown,25-34,0.349
2025-03-01,Other/Unknown,35-44,0.155
2025-03-01,Other/Unknown,45-54,0.075
2025-03-01,Other/Unknown,55-64,0.030
2025-03-01,Other/Unknown,65+,0.027
2025-03-01,Practical Guidance,18-24,0.413
2025-03-01,Practical Guidance,25-34,0.354
2025-03-01,Practical Guidance,35-44,0.132
2025-03-01,Practical Guidance,45-54,0.060
2025-03-01,Practical Guidance,55-64,0.023
2025-03-01,Practical Guidance,65+,0.018
2025-03-01,Seeking information,18-24,0.372
2025-03-01,Seeking information,25-34,0.352
2025-03-01,Seeking information,35-44,0.150
2025-03-01,Seeking information,45-54,0.070
2025-03-01,Seeking information,55-64,0.032
2025-03-01,Seeking information,65+,0.023
2025-03-01,Self-expression,18-24,0.396
2025-03-01,Self-expression,25-34,0.363
2025-03-01,Self-expression,35-44,0.133
2025-03-01,Self-expression,45-54,0.058
2025-03-01,Self-expression,55-64,0.023
2025-03-01,Self-expression,65+,0.026
2025-03-01,Technical help,18-24,0.393
2025-03-01,Technical help,25-34,0.383
2025-03-01,Technical help,35-44,0.142
2025-03-01,Technical help,45-54,0.053
2025-03-01,Technical help,55-64,0.017
2025-03-01,Technical help,65+,0.011
2025-03-01,Writing,18-24,0.343
2025-03-01,Writing,25-34,0.379
2025-03-01,Writing,35-44,0.162
2025-03-01,Writing,45-54,0.074
2025-03-01,Writing,55-64,0.025
2025-03-01,Writing,65+,0.016
2025-04-01,Multimedia,18-24,0.306
2025-04-01,Multimedia,25-34,0.362
2025-04-01,Multimedia,35-44,0.195
2025-04-01,Multimedia,45-54,0.087
2025-04-01,Multimedia,55-64,0.029
2025-04-01,Multimedia,65+,0.021
2025-04-01,Other/Unknown,18-24,0.356
2025-04-01,Other/Unknown,25-34,0.356
2025-04-01,Other/Unknown,35-44,0.157
2025-04-01,Other/Unknown,45-54,0.077
2025-04-01,Other/Unknown,55-64,0.028
2025-04-01,Other/Unknown,65+,0.026
2025-04-01,Practical Guidance,18-24,0.396
2025-04-01,Practical Guidance,25-34,0.359
2025-04-01,Practical Guidance,35-44,0.143
2025-04-01,Practical Guidance,45-54,0.061
2025-04-01,Practical Guidance,55-64,0.023
2025-04-01,Practical Guidance,65+,0.017
2025-04-01,Seeking information,18-24,0.356
2025-04-01,Seeking information,25-34,0.359
2025-04-01,Seeking information,35-44,0.158
2025-04-01,Seeking information,45-54,0.076
2025-04-01,Seeking information,55-64,0.031
2025-04-01,Seeking information,65+,0.021
2025-04-01,Self-expression,18-24,0.384
2025-04-01,Self-expression,25-34,0.366
2025-04-01,Self-expression,35-44,0.144
2025-04-01,Self-expression,45-54,0.060
2025-04-01,Self-expression,55-64,0.021
2025-04-01,Self-expression,65+,0.024
2025-04-01,Technical help,18-24,0.380
2025-04-01,Technical help,25-34,0.380
2025-04-01,Technical help,35-44,0.145
2025-04-01,Technical help,45-54,0.060
2025-04-01,Technical help,55-64,0.022
2025-04-01,Technical help,65+,0.012
2025-04-01,Writing,18-24,0.337
2025-04-01,Writing,25-34,0.380
2025-04-01,Writing,35-44,0.167
2025-04-01,Writing,45-54,0.072
2025-04-01,Writing,55-64,0.027
2025-04-01,Writing,65+,0.017
2025-05-01,Multimedia,18-24,0.290
2025-05-01,Multimedia,25-34,0.371
2025-05-01,Multimedia,35-44,0.190
2025-05-01,Multimedia,45-54,0.093
2025-05-01,Multimedia,55-64,0.035
2025-05-01,Multimedia,65+,0.022
2025-05-01,Other/Unknown,18-24,0.340
2025-05-01,Other/Unknown,25-34,0.367
2025-05-01,Other/Unknown,35-44,0.158
2025-05-01,Other/Unknown,45-54,0.082
2025-05-01,Other/Unknown,55-64,0.029
2025-05-01,Other/Unknown,65+,0.025
2025-05-01,Practical Guidance,18-24,0.386
2025-05-01,Practical Guidance,25-34,0.364
2025-05-01,Practical Guidance,35-44,0.146
2025-05-01,Practical Guidance,45-54,0.064
2025-05-01,Practical Guidance,55-64,0.023
2025-05-01,Practical Guidance,65+,0.017
2025-05-01,Seeking information,18-24,0.345
2025-05-01,Seeking information,25-34,0.365
2025-05-01,Seeking information,35-44,0.165
2025-05-01,Seeking information,45-54,0.074
2025-05-01,Seeking information,55-64,0.030
2025-05-01,Seeking information,65+,0.022
2025-05-01,Self-expression,18-24,0.360
2025-05-01,Self-expression,25-34,0.377
2025-05-01,Self-expression,35-44,0.154
2025-05-01,Self-expression,45-54,0.066
2025-05-01,Self-expression,55-64,0.022
2025-05-01,Self-expression,65+,0.021
2025-05-01,Technical help,18-24,0.364
2025-05-01,Technical help,25-34,0.388
2025-05-01,Technical help,35-44,0.148
2025-05-01,Technical help,45-54,0.066
2025-05-01,Technical help,55-64,0.021
2025-05-01,Technical help,65+,0.014
2025-05-01,Writing,18-24,0.333
2025-05-01,Writing,25-34,0.377
2025-05-01,Writing,35-44,0.169
2025-05-01,Writing,45-54,0.077
2025-05-01,Writing,55-64,0.028
2025-05-01,Writing,65+,0.016
2025-06-01,Multimedia,18-24,0.296
2025-06-01,Multimedia,25-34,0.371
2025-06-01,Multimedia,35-44,0.184
2025-06-01,Multimedia,45-54,0.091
2025-06-01,Multimedia,55-64,0.033
2025-06-01,Multimedia,65+,0.024
2025-06-01,Other/Unknown,18-24,0.343
2025-06-01,Other/Unknown,25-34,0.358
2025-06-01,Other/Unknown,35-44,0.161
2025-06-01,Other/Unknown,45-54,0.079
2025-06-01,Other/Unknown,55-64,0.033
2025-06-01,Other/Unknown,65+,0.026
2025-06-01,Practical Guidance,18-24,0.366
2025-06-01,Practical Guidance,25-34,0.381
2025-06-01,Practical Guidance,35-44,0.146
2025-06-01,Practical Guidance,45-54,0.064
2025-06-01,Practical Guidance,55-64,0.025
2025-06-01,Practical Guidance,65+,0.018
2025-06-01,Seeking information,18-24,0.324
2025-06-01,Seeking information,25-34,0.372
2025-06-01,Seeking information,35-44,0.169
2025-06-01,Seeking information,45-54,0.078
2025-06-01,Seeking information,55-64,0.034
2025-06-01,Seeking information,65+,0.022
2025-06-01,Self-expression,18-24,0.364
2025-06-01,Self-expression,25-34,0.374
2025-06-01,Self-expression,35-44,0.148
2025-06-01,Self-expression,45-54,0.068
2025-06-01,Self-expression,55-64,0.025
2025-06-01,Self-expression,65+,0.022
2025-06-01,Technical help,18-24,0.348
2025-06-01,Technical help,25-34,0.401
2025-06-01,Technical help,35-44,0.151
2025-06-01,Technical help,45-54,0.064
2025-06-01,Technical help,55-64,0.022
2025-06-01,Technical help,65+,0.013
2025-06-01,Writing,18-24,0.317
2025-06-01,Writing,25-34,0.382
2025-06-01,Writing,35-44,0.177
2025-06-01,Writing,45-54,0.080
2025-06-01,Writing,55-64,0.028
2025-06-01,Writing,65+,0.016
2025-07-01,Multimedia,18-24,0.293
2025-07-01,Multimedia,25-34,0.370
2025-07-01,Multimedia,35-44,0.195
2025-07-01,Multimedia,45-54,0.085
2025-07-01,Multimedia,55-64,0.032
2025-07-01,Multimedia,65+,0.025
2025-07-01,Other/Unknown,18-24,0.327
2025-07-01,Other/Unknown,25-34,0.363
2025-07-01,Other/Unknown,35-44,0.170
2025-07-01,Other/Unknown,45-54,0.080
2025-07-01,Other/Unknown,55-64,0.032
2025-07-01,Other/Unknown,65+,0.028
2025-07-01,Practical Guidance,18-24,0.341
2025-07-01,Practical Guidance,25-34,0.387
2025-07-01,Practical Guidance,35-44,0.157
2025-07-01,Practical Guidance,45-54,0.069
2025-07-01,Practical Guidance,55-64,0.027
2025-07-01,Practical Guidance,65+,0.019
2025-07-01,Seeking information,18-24,0.310
2025-07-01,Seeking information,25-34,0.376
2025-07-01,Seeking information,35-44,0.173
2025-07-01,Seeking information,45-54,0.082
2025-07-01,Seeking information,55-64,0.036
2025-07-01,Seeking information,65+,0.023
2025-07-01,Self-expression,18-24,0.365
2025-07-01,Self-expression,25-34,0.368
2025-07-01,Self-expression,35-44,0.152
2025-07-01,Self-expression,45-54,0.066
2025-07-01,Self-expression,55-64,0.025
2025-07-01,Self-expression,65+,0.024
2025-07-01,Technical help,18-24,0.327
2025-07-01,Technical help,25-34,0.403
2025-07-01,Technical help,35-44,0.163
2025-07-01,Technical help,45-54,0.069
2025-07-01,Technical help,55-64,0.024
2025-07-01,Technical help,65+,0.014
2025-07-01,Writing,18-24,0.304
2025-07-01,Writing,25-34,0.394
2025-07-01,Writing,35-44,0.177
2025-07-01,Writing,45-54,0.078
2025-07-01,Writing,55-64,0.029
2025-07-01,Writing,65+,0.018
2025-08-01,Multimedia,18-24,0.258
2025-08-01,Multimedia,25-34,0.361
2025-08-01,Multimedia,35-44,0.207
2025-08-01,Multimedia,45-54,0.102
2025-08-01,Multimedia,55-64,0.044
2025-08-01,Multimedia,65+,0.028
2025-08-01,Other/Unknown,18-24,0.309
2025-08-01,Other/Unknown,25-34,0.364
2025-08-01,Other/Unknown,35-44,0.179
2025-08-01,Other/Unknown,45-54,0.086
2025-08-01,Other/Unknown,55-64,0.036
2025-08-01,Other/Unknown,65+,0.027
2025-08-01,Practical Guidance,18-24,0.337
2025-08-01,Practical Guidance,25-34,0.381
2025-08-01,Practical Guidance,35-44,0.161
2025-08-01,Practical Guidance,45-54,0.072
2025-08-01,Practical Guidance,55-64,0.029
2025-08-01,Practical Guidance,65+,0.020
2025-08-01,Seeking information,18-24,0.304
2025-08-01,Seeking information,25-34,0.381
2025-08-01,Seeking information,35-44,0.171
2025-08-01,Seeking information,45-54,0.082
2025-08-01,Seeking information,55-64,0.037
2025-08-01,Seeking information,65+,0.025
2025-08-01,Self-expression,18-24,0.339
2025-08-01,Self-expression,25-34,0.374
2025-08-01,Self-expression,35-44,0.161
2025-08-01,Self-expression,45-54,0.075
2025-08-01,Self-expression,55-64,0.028
2025-08-01,Self-expression,65+,0.024
2025-08-01,Technical help,18-24,0.313
2025-08-01,Technical help,25-34,0.403
2025-08-01,Technical help,35-44,0.169
2025-08-01,Technical help,45-54,0.071
2025-08-01,Technical help,55-64,0.029
2025-08-01,Technical help,65+,0.016
2025-08-01,Writing,18-24,0.300
2025-08-01,Writing,25-34,0.387
2025-08-01,Writing,35-44,0.182
2025-08-01,Writing,45-54,0.082
2025-08-01,Writing,55-64,0.031
2025-08-01,Writing,65+,0.019
2025-09-01,Multimedia,18-24,0.269
2025-09-01,Multimedia,25-34,0.355
2025-09-01,Multimedia,35-44,0.204
2025-09-01,Multimedia,45-54,0.101
2025-09-01,Multimedia,55-64,0.043
2025-09-01,Multimedia,65+,0.028
2025-09-01,Other/Unknown,18-24,0.307
2025-09-01,Other/Unknown,25-34,0.358
2025-09-01,Other/Unknown,35-44,0.181
2025-09-01,Other/Unknown,45-54,0.088
2025-09-01,Other/Unknown,55-64,0.037
2025-09-01,Other/Unknown,65+,0.030
2025-09-01,Practical Guidance,18-24,0.355
2025-09-01,Practical Guidance,25-34,0.371
2025-09-01,Practical Guidance,35-44,0.159
2025-09-01,Practical Guidance,45-54,0.070
2025-09-01,Practical Guidance,55-64,0.027
2025-09-01,Practical Guidance,65+,0.020
2025-09-01,Seeking information,18-24,0.309
2025-09-01,Seeking information,25-34,0.369
2025-09-01,Seeking information,35-44,0.173
2025-09-01,Seeking information,45-54,0.085
2025-09-01,Seeking information,55-64,0.038
2025-09-01,Seeking information,65+,0.026
2025-09-01,Self-expression,18-24,0.342
2025-09-01,Self-expression,25-34,0.370
2025-09-01,Self-expression,35-44,0.160
2025-09-01,Self-expression,45-54,0.078
2025-09-01,Self-expression,55-64,0.027
2025-09-01,Self-expression,65+,0.024
2025-09-01,Technical help,18-24,0.346
2025-09-01,Technical help,25-34,0.388
2025-09-01,Technical help,35-44,0.162
2025-09-01,Technical help,45-54,0.065
2025-09-01,Technical help,55-64,0.025
2025-09-01,Technical help,65+,0.015
2025-09-01,Writing,18-24,0.308
2025-09-01,Writing,25-34,0.379
2025-09-01,Writing,35-44,0.183
2025-09-01,Writing,45-54,0.083
2025-09-01,Writing,55-64,0.029
2025-09-01,Writing,65+,0.019
2025-10-01,Multimedia,18-24,0.270
2025-10-01,Multimedia,25-34,0.335
2025-10-01,Multimedia,35-44,0.213
2025-10-01,Multimedia,45-54,0.108
2025-10-01,Multimedia,55-64,0.046
2025-10-01,Multimedia,65+,0.027
2025-10-01,Other/Unknown,18-24,0.326
2025-10-01,Other/Unknown,25-34,0.341
2025-10-01,Other/Unknown,35-44,0.169
2025-10-01,Other/Unknown,45-54,0.093
2025-10-01,Other/Unknown,55-64,0.039
2025-10-01,Other/Unknown,65+,0.032
2025-10-01,Practical Guidance,18-24,0.372
2025-10-01,Practical Guidance,25-34,0.360
2025-10-01,Practical Guidance,35-44,0.152
2025-10-01,Practical Guidance,45-54,0.067
2025-10-01,Practical Guidance,55-64,0.027
2025-10-01,Practical Guidance,65+,0.021
2025-10-01,Seeking information,18-24,0.316
2025-10-01,Seeking information,25-34,0.357
2025-10-01,Seeking information,35-44,0.175
2025-10-01,Seeking information,45-54,0.086
2025-10-01,Seeking information,55-64,0.039
2025-10-01,Seeking information,65+,0.026
2025-10-01,Self-expression,18-24,0.334
2025-10-01,Self-expression,25-34,0.363
2025-10-01,Self-expression,35-44,0.169
2025-10-01,Self-expression,45-54,0.077
2025-10-01,Self-expression,55-64,0.031
2025-10-01,Self-expression,65+,0.025
2025-10-01,Technical help,18-24,0.362
2025-10-01,Technical help,25-34,0.371
2025-10-01,Technical help,35-44,0.157
2025-10-01,Technical help,45-54,0.072
2025-10-01,Technical help,55-64,0.023
