month,country,work_related,topic,share_of_messages
2024-07-01,BR,0,Multimedia,0.025
2024-07-01,BR,0,Other/Unknown,0.048
2024-07-01,BR,0,Practical Guidance,0.314
2024-07-01,BR,0,Seeking information,0.217
2024-07-01,BR,0,Self-expression,0.068
2024-07-01,BR,0,Technical help,0.054
2024-07-01,BR,0,Writing,0.274
2024-07-01,BR,1,Multimedia,0.023
2024-07-01,BR,1,Other/Unknown,0.023
2024-07-01,BR,1,Practical Guidance,0.216
2024-07-01,BR,1,Seeking information,0.096
2024-07-01,BR,1,Self-expression,0.006
2024-07-01,BR,1,Technical help,0.171
2024-07-01,BR,1,Writing,0.465
2024-07-01,CA,0,Multimedia,0.023
2024-07-01,CA,0,Other/Unknown,0.032
2024-07-01,CA,0,Practical Guidance,0.313
2024-07-01,CA,0,Seeking information,0.226
2024-07-01,CA,0,Self-expression,0.041
2024-07-01,CA,0,Technical help,0.071
2024-07-01,CA,0,Writing,0.295
2024-07-01,CA,1,Multimedia,0.019
2024-07-01,CA,1,Other/Unknown,0.017
2024-07-01,CA,1,Practical Guidance,0.219
2024-07-01,CA,1,Seeking information,0.124
2024-07-01,CA,1,Self-expression,0.008
2024-07-01,CA,1,Technical help,0.156
2024-07-01,CA,1,Writing,0.458
2024-07-01,CH,0,Multimedia,0.033
2024-07-01,CH,0,Other/Unknown,0.042
2024-07-01,CH,0,Practical Guidance,0.257
2024-07-01,CH,0,Seeking information,0.259
2024-07-01,CH,0,Self-expression,0.031
2024-07-01,CH,0,Technical help,0.043
2024-07-01,CH,0,Writing,0.334
2024-07-01,CH,1,Multimedia,0.019
2024-07-01,CH,1,Other/Unknown,0.021
2024-07-01,CH,1,Practical Guidance,0.157
2024-07-01,CH,1,Seeking information,0.090
2024-07-01,CH,1,Self-expression,0.000
2024-07-01,CH,1,Technical help,0.151
2024-07-01,CH,1,Writing,0.563
2024-07-01,CI,0,Multimedia,0.000
2024-07-01,CI,0,Other/Unknown,0.018
2024-07-01,CI,0,Practical Guidance,0.361
2024-07-01,CI,0,Seeking information,0.196
2024-07-01,CI,0,Self-expression,0.122
2024-07-01,CI,0,Technical help,0.026
2024-07-01,CI,0,Writing,0.278
2024-07-01,CI,1,Multimedia,0.000
2024-07-01,CI,1,Other/Unknown,0.000
2024-07-01,CI,1,Practical Guidance,0.310
2024-07-01,CI,1,Seeking information,0.152
2024-07-01,CI,1,Self-expression,0.000
2024-07-01,CI,1,Technical help,0.148
2024-07-01,CI,1,Writing,0.390
2024-07-01,CL,0,Multimedia,0.018
2024-07-01,CL,0,Other/Unknown,0.038
2024-07-01,CL,0,Practical Guidance,0.349
2024-07-01,CL,0,Seeking information,0.227
2024-07-01,CL,0,Self-expression,0.075
2024-07-01,CL,0,Technical help,0.049
2024-07-01,CL,0,Writing,0.245
2024-07-01,CL,1,Multimedia,0.030
2024-07-01,CL,1,Other/Unknown,0.015
2024-07-01,CL,1,Practical Guidance,0.257
2024-07-01,CL,1,Seeking information,0.110
2024-07-01,CL,1,Self-expression,0.010
2024-07-01,CL,1,Technical help,0.191
2024-07-01,CL,1,Writing,0.387
2024-07-01,CO,0,Multimedia,0.016
2024-07-01,CO,0,Other/Unknown,0.042
2024-07-01,CO,0,Practical Guidance,0.345
2024-07-01,CO,0,Seeking information,0.225
2024-07-01,CO,0,Self-expression,0.059
2024-07-01,CO,0,Technical help,0.057
2024-07-01,CO,0,Writing,0.256
2024-07-01,CO,1,Multimedia,0.019
2024-07-01,CO,1,Other/Unknown,0.028
2024-07-01,CO,1,Practical Guidance,0.272
2024-07-01,CO,1,Seeking information,0.120
2024-07-01,CO,1,Self-expression,0.010
2024-07-01,CO,1,Technical help,0.146
2024-07-01,CO,1,Writing,0.407
2024-07-01,CR,0,Multimedia,0.002
2024-07-01,CR,0,Other/Unknown,0.058
2024-07-01,CR,0,Practical Guidance,0.283
2024-07-01,CR,0,Seeking information,0.283
2024-07-01,CR,0,Self-expression,0.100
2024-07-01,CR,0,Technical help,0.045
2024-07-01,CR,0,Writing,0.230
2024-07-01,CR,1,Multimedia,0.000
2024-07-01,CR,1,Other/Unknown,0.000
2024-07-01,CR,1,Practical Guidance,0.242
2024-07-01,CR,1,Seeking information,0.142
2024-07-01,CR,1,Self-expression,0.005
2024-07-01,CR,1,Technical help,0.208
2024-07-01,CR,1,Writing,0.403
2024-07-01,CY,1,Multimedia,0.000
2024-07-01,CY,1,Other/Unknown,0.050
2024-07-01,CY,1,Practical Guidance,0.202
2024-07-01,CY,1,Seeking information,0.121
2024-07-01,CY,1,Self-expression,0.000
2024-07-01,CY,1,Technical help,0.202
2024-07-01,CY,1,Writing,0.425
2024-07-01,CZ,0,Multimedia,0.063
2024-07-01,CZ,0,Other/Unknown,0.007
2024-07-01,CZ,0,Practical Guidance,0.269
2024-07-01,CZ,0,Seeking information,0.369
2024-07-01,CZ,0,Self-expression,0.064
2024-07-01,CZ,0,Technical help,0.003
2024-07-01,CZ,0,Writing,0.224
2024-07-01,CZ,1,Multimedia,0.019
2024-07-01,CZ,1,Other/Unknown,0.017
2024-07-01,CZ,1,Practical Guidance,0.181
2024-07-01,CZ,1,Seeking information,0.091
2024-07-01,CZ,1,Self-expression,0.006
2024-07-01,CZ,1,Technical help,0.265
2024-07-01,CZ,1,Writing,0.421
2024-07-01,DE,0,Multimedia,0.029
2024-07-01,DE,0,Other/Unknown,0.041
2024-07-01,DE,0,Practical Guidance,0.305
2024-07-01,DE,0,Seeking information,0.221
2024-07-01,DE,0,Self-expression,0.049
2024-07-01,DE,0,Technical help,0.041
2024-07-01,DE,0,Writing,0.314
2024-07-01,DE,1,Multimedia,0.017
2024-07-01,DE,1,Other/Unknown,0.016
2024-07-01,DE,1,Practical Guidance,0.219
2024-07-01,DE,1,Seeking information,0.100
2024-07-01,DE,1,Self-expression,0.005
2024-07-01,DE,1,Technical help,0.194
2024-07-01,DE,1,Writing,0.448
2024-07-01,DK,0,Multimedia,0.050
2024-07-01,DK,0,Other/Unknown,0.032
2024-07-01,DK,0,Practical Guidance,0.284
2024-07-01,DK,0,Seeking information,0.339
2024-07-01,DK,0,Self-expression,0.043
2024-07-01,DK,0,Technical help,0.013
2024-07-01,DK,0,Writing,0.240
2024-07-01,DK,1,Multimedia,0.000
2024-07-01,DK,1,Other/Unknown,0.018
2024-07-01,DK,1,Practical Guidance,0.180
2024-07-01,DK,1,Seeking information,0.073
2024-07-01,DK,1,Self-expression,0.006
2024-07-01,DK,1,Technical help,0.214
2024-07-01,DK,1,Writing,0.509
2024-07-01,DO,0,Multimedia,0.021
2024-07-01,DO,0,Other/Unknown,0.045
2024-07-01,DO,0,Practical Guidance,0.356
2024-07-01,DO,0,Seeking information,0.265
2024-07-01,DO,0,Self-expression,0.048
2024-07-01,DO,0,Technical help,0.053
2024-07-01,DO,0,Writing,0.211
2024-07-01,DO,1,Multimedia,0.021
2024-07-01,DO,1,Other/Unknown,0.020
2024-07-01,DO,1,Practical Guidance,0.316
2024-07-01,DO,1,Seeking information,0.177
2024-07-01,DO,1,Self-expression,0.017
2024-07-01,DO,1,Technical help,0.123
2024-07-01,DO,1,Writing,0.326
2024-07-01,DZ,0,Multimedia,0.035
2024-07-01,DZ,0,Other/Unknown,0.065
2024-07-01,DZ,0,Practical Guidance,0.271
2024-07-01,DZ,0,Seeking information,0.252
2024-07-01,DZ,0,Self-expression,0.067
2024-07-01,DZ,0,Technical help,0.012
2024-07-01,DZ,0,Writing,0.298
2024-07-01,DZ,1,Multimedia,0.012
2024-07-01,DZ,1,Other/Unknown,0.028
2024-07-01,DZ,1,Practical Guidance,0.201
2024-07-01,DZ,1,Seeking information,0.103
2024-07-01,DZ,1,Self-expression,0.004
2024-07-01,DZ,1,Technical help,0.215
2024-07-01,DZ,1,Writing,0.439
2024-07-01,EC,0,Multimedia,0.013
2024-07-01,EC,0,Other/Unknown,0.035
2024-07-01,EC,0,Practical Guidance,0.411
2024-07-01,EC,0,Seeking information,0.235
2024-07-01,EC,0,Self-expression,0.031
2024-07-01,EC,0,Technical help,0.075
2024-07-01,EC,0,Writing,0.199
2024-07-01,EC,1,Multimedia,0.019
2024-07-01,EC,1,Other/Unknown,0.011
2024-07-01,EC,1,Practical Guidance,0.303
2024-07-01,EC,1,Seeking information,0.159
2024-07-01,EC,1,Self-expression,0.000
2024-07-01,EC,1,Technical help,0.118
2024-07-01,EC,1,Writing,0.390
2024-07-01,EE,0,Multimedia,0.060
2024-07-01,EE,0,Other/Unknown,0.156
2024-07-01,EE,0,Practical Guidance,0.200
2024-07-01,EE,0,Seeking information,0.294
2024-07-01,EE,0,Self-expression,0.021
2024-07-01,EE,0,Technical help,0.006
2024-07-01,EE,0,Writing,0.265
2024-07-01,EG,0,Multimedia,0.030
2024-07-01,EG,0,Other/Unknown,0.080
2024-07-01,EG,0,Practical Guidance,0.261
2024-07-01,EG,0,Seeking information,0.211
2024-07-01,EG,0,Self-expression,0.109
2024-07-01,EG,0,Technical help,0.049
2024-07-01,EG,0,Writing,0.260
2024-07-01,EG,1,Multimedia,0.018
2024-07-01,EG,1,Other/Unknown,0.021
2024-07-01,EG,1,Practical Guidance,0.223
2024-07-01,EG,1,Seeking information,0.100
2024-07-01,EG,1,Self-expression,0.001
2024-07-01,EG,1,Technical help,0.292
2024-07-01,EG,1,Writing,0.344
2024-07-01,ES,0,Multimedia,0.032
2024-07-01,ES,0,Other/Unknown,0.040
2024-07-01,ES,0,Practical Guidance,0.298
2024-07-01,ES,0,Seeking information,0.271
2024-07-01,ES,0,Self-expression,0.062
2024-07-01,ES,0,Technical help,0.039
2024-07-01,ES,0,Writing,0.257
2024-07-01,ES,1,Multimedia,0.015
2024-07-01,ES,1,Other/Unknown,0.015
2024-07-01,ES,1,Practical Guidance,0.213
2024-07-01,ES,1,Seeking information,0.119
2024-07-01,ES,1,Self-expression,0.009
2024-07-01,ES,1,Technical help,0.200
2024-07-01,ES,1,Writing,0.430
2024-07-01,ET,0,Multimedia,0.036
2024-07-01,ET,0,Other/Unknown,0.072
2024-07-01,ET,0,Practical Guidance,0.389
2024-07-01,ET,0,Seeking information,0.177
2024-07-01,ET,0,Self-expression,0.096
2024-07-01,ET,0,Technical help,0.000
2024-07-01,ET,0,Writing,0.230
2024-07-01,ET,1,Multimedia,0.011
2024-07-01,ET,1,Other/Unknown,0.028
2024-07-01,ET,1,Practical Guidance,0.234
2024-07-01,ET,1,Seeking information,0.149
2024-07-01,ET,1,Self-expression,0.000
2024-07-01,ET,1,Technical help,0.258
2024-07-01,ET,1,Writing,0.320
2024-07-01,FI,0,Multimedia,0.026
2024-07-01,FI,0,Other/Unknown,0.063
2024-07-01,FI,0,Practical Guidance,0.271
2024-07-01,FI,0,Seeking information,0.216
2024-07-01,FI,0,Self-expression,0.096
2024-07-01,FI,0,Technical help,0.067
2024-07-01,FI,0,Writing,0.261
2024-07-01,FI,1,Multimedia,0.000
2024-07-01,FI,1,Other/Unknown,0.039
2024-07-01,FI,1,Practical Guidance,0.215
2024-07-01,FI,1,Seeking information,0.119
2024-07-01,FI,1,Self-expression,0.016
2024-07-01,FI,1,Technical help,0.184
2024-07-01,FI,1,Writing,0.427
2024-07-01,FR,0,Multimedia,0.029
2024-07-01,FR,0,Other/Unknown,0.043
2024-07-01,FR,0,Practical Guidance,0.242
2024-07-01,FR,0,Seeking information,0.254
2024-07-01,FR,0,Self-expression,0.060
2024-07-01,FR,0,Technical help,0.031
2024-07-01,FR,0,Writing,0.341
2024-07-01,FR,1,Multimedia,0.017
2024-07-01,FR,1,Other/Unknown,0.018
2024-07-01,FR,1,Practical Guidance,0.167
2024-07-01,FR,1,Seeking information,0.093
2024-07-01,FR,1,Self-expression,0.005
2024-07-01,FR,1,Technical help,0.185
2024-07-01,FR,1,Writing,0.516
2024-07-01,GB,0,Multimedia,0.032
2024-07-01,GB,0,Other/Unknown,0.041
2024-07-01,GB,0,Practical Guidance,0.263
2024-07-01,GB,0,Seeking information,0.236
2024-07-01,GB,0,Self-expression,0.058
2024-07-01,GB,0,Technical help,0.040
2024-07-01,GB,0,Writing,0.330
2024-07-01,GB,1,Multimedia,0.012
2024-07-01,GB,1,Other/Unknown,0.017
2024-07-01,GB,1,Practical Guidance,0.198
2024-07-01,GB,1,Seeking information,0.093
2024-07-01,GB,1,Self-expression,0.004
2024-07-01,GB,1,Technical help,0.178
2024-07-01,GB,1,Writing,0.498
2024-07-01,GE,0,Multimedia,0.010
2024-07-01,GE,0,Other/Unknown,0.045
2024-07-01,GE,0,Practical Guidance,0.423
2024-07-01,GE,0,Seeking information,0.214
2024-07-01,GE,0,Self-expression,0.070
2024-07-01,GE,0,Technical help,0.039
2024-07-01,GE,0,Writing,0.200
2024-07-01,GE,1,Multimedia,0.040
2024-07-01,GE,1,Other/Unknown,0.000
2024-07-01,GE,1,Practical Guidance,0.221
2024-07-01,GE,1,Seeking information,0.029
2024-07-01,GE,1,Self-expression,0.067
2024-07-01,GE,1,Technical help,0.230
2024-07-01,GE,1,Writing,0.413
2024-07-01,GH,0,Multimedia,0.022
2024-07-01,GH,0,Other/Unknown,0.031
2024-07-01,GH,0,Practical Guidance,0.377
2024-07-01,GH,0,Seeking information,0.265
2024-07-01,GH,0,Self-expression,0.036
2024-07-01,GH,0,Technical help,0.049
2024-07-01,GH,0,Writing,0.219
2024-07-01,GH,1,Multimedia,0.023
2024-07-01,GH,1,Other/Unknown,0.015
2024-07-01,GH,1,Practical Guidance,0.274
2024-07-01,GH,1,Seeking information,0.141
2024-07-01,GH,1,Self-expression,0.017
2024-07-01,GH,1,Technical help,0.150
2024-07-01,GH,1,Writing,0.380
2024-07-01,GR,0,Multimedia,0.037
2024-07-01,GR,0,Other/Unknown,0.053
2024-07-01,GR,0,Practical Guidance,0.286
2024-07-01,GR,0,Seeking information,0.269
2024-07-01,GR,0,Self-expression,0.076
2024-07-01,GR,0,Technical help,0.056
2024-07-01,GR,0,Writing,0.224
2024-07-01,GR,1,Multimedia,0.025
2024-07-01,GR,1,Other/Unknown,0.008
2024-07-01,GR,1,Practical Guidance,0.159
2024-07-01,GR,1,Seeking information,0.092
2024-07-01,GR,1,Self-expression,0.000
2024-07-01,GR,1,Technical help,0.252
2024-07-01,GR,1,Writing,0.466
2024-07-01,GT,0,Multimedia,0.031
2024-07-01,GT,0,Other/Unknown,0.028
2024-07-01,GT,0,Practical Guidance,0.391
2024-07-01,GT,0,Seeking information,0.222
2024-07-01,GT,0,Self-expression,0.041
2024-07-01,GT,0,Technical help,0.123
2024-07-01,GT,0,Writing,0.164
2024-07-01,GT,1,Multimedia,0.016
2024-07-01,GT,1,Other/Unknown,0.000
2024-07-01,GT,1,Practical Guidance,0.330
2024-07-01,GT,1,Seeking information,0.172
2024-07-01,GT,1,Self-expression,0.013
2024-07-01,GT,1,Technical help,0.098
2024-07-01,GT,1,Writing,0.371
2024-07-01,HN,0,Multimedia,0.000
2024-07-01,HN,0,Other/Unknown,0.039
2024-07-01,HN,0,Practical Guidance,0.334
2024-07-01,HN,0,Seeking information,0.299
2024-07-01,HN,0,Self-expression,0.038
2024-07-01,HN,0,Technical help,0.087
2024-07-01,HN,0,Writing,0.202
2024-07-01,HN,1,Multimedia,0.070
2024-07-01,HN,1,Other/Unknown,0.047
2024-07-01,HN,1,Practical Guidance,0.245
2024-07-01,HN,1,Seeking information,0.129
2024-07-01,HN,1,Self-expression,0.028
2024-07-01,HN,1,Technical help,0.125
2024-07-01,HN,1,Writing,0.355
2024-07-01,HR,0,Multimedia,0.054
2024-07-01,HR,0,Other/Unknown,0.003
2024-07-01,HR,0,Practical Guidance,0.222
2024-07-01,HR,0,Seeking information,0.272
2024-07-01,HR,0,Self-expression,0.052
2024-07-01,HR,0,Technical help,0.081
2024-07-01,HR,0,Writing,0.317
2024-07-01,HR,1,Multimedia,0.002
2024-07-01,HR,1,Other/Unknown,0.056
2024-07-01,HR,1,Practical Guidance,0.147
2024-07-01,HR,1,Seeking information,0.071
2024-07-01,HR,1,Self-expression,0.018
2024-07-01,HR,1,Technical help,0.308
2024-07-01,HR,1,Writing,0.398
2024-07-01,HT,0,Multimedia,0.002
2024-07-01,HT,0,Other/Unknown,0.032
2024-07-01,HT,0,Practical Guidance,0.339
2024-07-01,HT,0,Seeking information,0.204
2024-07-01,HT,0,Self-expression,0.090
2024-07-01,HT,0,Technical help,0.080
2024-07-01,HT,0,Writing,0.251
2024-07-01,HU,0,Multimedia,0.039
2024-07-01,HU,0,Other/Unknown,0.052
2024-07-01,HU,0,Practical Guidance,0.270
2024-07-01,HU,0,Seeking information,0.240
2024-07-01,HU,0,Self-expression,0.084
2024-07-01,HU,0,Technical help,0.040
2024-07-01,HU,0,Writing,0.276
2024-07-01,HU,1,Multimedia,0.027
2024-07-01,HU,1,Other/Unknown,0.015
2024-07-01,HU,1,Practical Guidance,0.250
2024-07-01,HU,1,Seeking information,0.085
2024-07-01,HU,1,Self-expression,0.029
2024-07-01,HU,1,Technical help,0.221
2024-07-01,HU,1,Writing,0.373
2024-07-01,ID,0,Multimedia,0.016
2024-07-01,ID,0,Other/Unknown,0.037
2024-07-01,ID,0,Practical Guidance,0.344
2024-07-01,ID,0,Seeking information,0.233
2024-07-01,ID,0,Self-expression,0.051
2024-07-01,ID,0,Technical help,0.054
2024-07-01,ID,0,Writing,0.264
2024-07-01,ID,1,Multimedia,0.012
2024-07-01,ID,1,Other/Unknown,0.019
2024-07-01,ID,1,Practical Guidance,0.292
2024-07-01,ID,1,Seeking information,0.130
2024-07-01,ID,1,Self-expression,0.006
2024-07-01,ID,1,Technical help,0.159
2024-07-01,ID,1,Writing,0.383
2024-07-01,IE,0,Multimedia,0.031
2024-07-01,IE,0,Other/Unknown,0.055
2024-07-01,IE,0,Practical Guidance,0.227
2024-07-01,IE,0,Seeking information,0.241
2024-07-01,IE,0,Self-expression,0.063
2024-07-01,IE,0,Technical help,0.030
2024-07-01,IE,0,Writing,0.353
2024-07-01,IE,1,Multimedia,0.027
2024-07-01,IE,1,Other/Unknown,0.016
2024-07-01,IE,1,Practical Guidance,0.168
2024-07-01,IE,1,Seeking information,0.087
2024-07-01,IE,1,Self-expression,0.000
2024-07-01,IE,1,Technical help,0.234
2024-07-01,IE,1,Writing,0.469
2024-07-01,IL,0,Multimedia,0.032
2024-07-01,IL,0,Other/Unknown,0.045
2024-07-01,IL,0,Practical Guidance,0.304
2024-07-01,IL,0,Seeking information,0.294
2024-07-01,IL,0,Self-expression,0.052
2024-07-01,IL,0,Technical help,0.061
2024-07-01,IL,0,Writing,0.213
2024-07-01,IL,1,Multimedia,0.022
2024-07-01,IL,1,Other/Unknown,0.017
2024-07-01,IL,1,Practical Guidance,0.226
2024-07-01,IL,1,Seeking information,0.084
2024-07-01,IL,1,Self-expression,0.000
2024-07-01,IL,1,Technical help,0.362
2024-07-01,IL,1,Writing,0.288
2024-07-01,IN,0,Multimedia,0.016
2024-07-01,IN,0,Other/Unknown,0.053
2024-07-01,IN,0,Practical Guidance,0.321
2024-07-01,IN,0,Seeking information,0.215
2024-07-01,IN,0,Self-expression,0.043
2024-07-01,IN,0,Technical help,0.107
2024-07-01,IN,0,Writing,0.244
2024-07-01,IN,1,Multimedia,0.013
2024-07-01,IN,1,Other/Unknown,0.021
2024-07-01,IN,1,Practical Guidance,0.225
2024-07-01,IN,1,Seeking information,0.113
2024-07-01,IN,1,Self-expression,0.005
2024-07-01,IN,1,Technical help,0.301
2024-07-01,IN,1,Writing,0.322
2024-07-01,IQ,0,Multimedia,0.025
2024-07-01,IQ,0,Other/Unknown,0.046
2024-07-01,IQ,0,Practical Guidance,0.344
2024-07-01,IQ,0,Seeking information,0.283
2024-07-01,IQ,0,Self-expression,0.067
2024-07-01,IQ,0,Technical help,0.046
2024-07-01,IQ,0,Writing,0.190
2024-07-01,IQ,1,Multimedia,0.066
2024-07-01,IQ,1,Other/Unknown,0.063
2024-07-01,IQ,1,Practical Guidance,0.228
2024-07-01,IQ,1,Seeking information,0.131
2024-07-01,IQ,1,Self-expression,0.000
2024-07-01,IQ,1,Technical help,0.161
2024-07-01,IQ,1,Writing,0.352
2024-07-01,IT,0,Multimedia,0.022
2024-07-01,IT,0,Other/Unknown,0.038
2024-07-01,IT,0,Practical Guidance,0.293
2024-07-01,IT,0,Seeking information,0.266
2024-07-01,IT,0,Self-expression,0.060
2024-07-01,IT,0,Technical help,0.046
2024-07-01,IT,0,Writing,0.274
2024-07-01,IT,1,Multimedia,0.019
2024-07-01,IT,1,Other/Unknown,0.017
2024-07-01,IT,1,Practical Guidance,0.192
2024-07-01,IT,1,Seeking information,0.121
2024-07-01,IT,1,Self-expression,0.002
2024-07-01,IT,1,Technical help,0.199
2024-07-01,IT,1,Writing,0.449
2024-07-01,JO,0,Multimedia,0.025
2024-07-01,JO,0,Other/Unknown,0.088
2024-07-01,JO,0,Practical Guidance,0.265
2024-07-01,JO,0,Seeking information,0.235
2024-07-01,JO,0,Self-expression,0.056
2024-07-01,JO,0,Technical help,0.050
2024-07-01,JO,0,Writing,0.281
2024-07-01,JO,1,Multimedia,0.013
2024-07-01,JO,1,Other/Unknown,0.033
2024-07-01,JO,1,Practical Guidance,0.157
2024-07-01,JO,1,Seeking information,0.087
2024-07-01,JO,1,Self-expression,0.029
2024-07-01,JO,1,Technical help,0.173
2024-07-01,JO,1,Writing,0.508
2024-07-01,JP,0,Multimedia,0.036
2024-07-01,JP,0,Other/Unknown,0.043
2024-07-01,JP,0,Practical Guidance,0.285
2024-07-01,JP,0,Seeking information,0.215
