month,country,topic,typical_name_gender,share_of_messages
2024-07-01,CO,Self-expression,feminine,0.492
2024-07-01,CO,Self-expression,masculine,0.508
2024-07-01,CO,Technical help,feminine,0.248
2024-07-01,CO,Technical help,masculine,0.752
2024-07-01,CO,Writing,feminine,0.533
2024-07-01,CO,Writing,masculine,0.467
2024-07-01,CR,Practical Guidance,feminine,0.497
2024-07-01,CR,Practical Guidance,masculine,0.503
2024-07-01,CR,Writing,feminine,0.470
2024-07-01,CR,Writing,masculine,0.530
2024-07-01,CZ,Practical Guidance,feminine,0.407
2024-07-01,CZ,Practical Guidance,masculine,0.593
2024-07-01,CZ,Seeking information,feminine,0.339
2024-07-01,CZ,Seeking information,masculine,0.661
2024-07-01,CZ,Writing,feminine,0.546
2024-07-01,CZ,Writing,masculine,0.454
2024-07-01,DE,Multimedia,feminine,0.204
2024-07-01,DE,Multimedia,masculine,0.796
2024-07-01,DE,Other/Unknown,feminine,0.407
2024-07-01,DE,Other/Unknown,masculine,0.593
2024-07-01,DE,Practical Guidance,feminine,0.424
2024-07-01,DE,Practical Guidance,masculine,0.576
2024-07-01,DE,Seeking information,feminine,0.383
2024-07-01,DE,Seeking information,masculine,0.617
2024-07-01,DE,Self-expression,feminine,0.407
2024-07-01,DE,Self-expression,masculine,0.593
2024-07-01,DE,Technical help,feminine,0.192
2024-07-01,DE,Technical help,masculine,0.808
2024-07-01,DE,Writing,feminine,0.498
2024-07-01,DE,Writing,masculine,0.502
2024-07-01,DK,Practical Guidance,feminine,0.418
2024-07-01,DK,Practical Guidance,masculine,0.582
2024-07-01,DK,Seeking information,feminine,0.301
2024-07-01,DK,Seeking information,masculine,0.699
2024-07-01,DK,Writing,feminine,0.458
2024-07-01,DK,Writing,masculine,0.542
2024-07-01,DO,Practical Guidance,feminine,0.577
2024-07-01,DO,Practical Guidance,masculine,0.423
2024-07-01,DO,Seeking information,feminine,0.492
2024-07-01,DO,Seeking information,masculine,0.508
2024-07-01,DO,Writing,feminine,0.615
2024-07-01,DO,Writing,masculine,0.385
2024-07-01,DZ,Practical Guidance,feminine,0.443
2024-07-01,DZ,Practical Guidance,masculine,0.557
2024-07-01,DZ,Writing,feminine,0.494
2024-07-01,DZ,Writing,masculine,0.506
2024-07-01,EC,Practical Guidance,feminine,0.546
2024-07-01,EC,Practical Guidance,masculine,0.454
2024-07-01,EC,Seeking information,feminine,0.538
2024-07-01,EC,Seeking information,masculine,0.462
2024-07-01,EC,Technical help,feminine,0.339
2024-07-01,EC,Technical help,masculine,0.661
2024-07-01,EC,Writing,feminine,0.588
2024-07-01,EC,Writing,masculine,0.412
2024-07-01,EG,Practical Guidance,feminine,0.354
2024-07-01,EG,Practical Guidance,masculine,0.646
2024-07-01,EG,Seeking information,feminine,0.216
2024-07-01,EG,Seeking information,masculine,0.784
2024-07-01,EG,Technical help,feminine,0.170
2024-07-01,EG,Technical help,masculine,0.830
2024-07-01,EG,Writing,feminine,0.395
2024-07-01,EG,Writing,masculine,0.605
2024-07-01,ES,Other/Unknown,feminine,0.415
2024-07-01,ES,Other/Unknown,masculine,0.585
2024-07-01,ES,Practical Guidance,feminine,0.453
2024-07-01,ES,Practical Guidance,masculine,0.547
2024-07-01,ES,Seeking information,feminine,0.414
2024-07-01,ES,Seeking information,masculine,0.586
2024-07-01,ES,Self-expression,feminine,0.503
2024-07-01,ES,Self-expression,masculine,0.497
2024-07-01,ES,Technical help,feminine,0.219
2024-07-01,ES,Technical help,masculine,0.781
2024-07-01,ES,Writing,feminine,0.524
2024-07-01,ES,Writing,masculine,0.476
2024-07-01,FI,Writing,feminine,0.485
2024-07-01,FI,Writing,masculine,0.515
2024-07-01,FR,Multimedia,feminine,0.376
2024-07-01,FR,Multimedia,masculine,0.624
2024-07-01,FR,Other/Unknown,feminine,0.410
2024-07-01,FR,Other/Unknown,masculine,0.590
2024-07-01,FR,Practical Guidance,feminine,0.416
2024-07-01,FR,Practical Guidance,masculine,0.584
2024-07-01,FR,Seeking information,feminine,0.399
2024-07-01,FR,Seeking information,masculine,0.601
2024-07-01,FR,Self-expression,feminine,0.415
2024-07-01,FR,Self-expression,masculine,0.585
2024-07-01,FR,Technical help,feminine,0.202
2024-07-01,FR,Technical help,masculine,0.798
2024-07-01,FR,Writing,feminine,0.504
2024-07-01,FR,Writing,masculine,0.496
2024-07-01,GB,Multimedia,feminine,0.312
2024-07-01,GB,Multimedia,masculine,0.688
2024-07-01,GB,Other/Unknown,feminine,0.352
2024-07-01,GB,Other/Unknown,masculine,0.648
2024-07-01,GB,Practical Guidance,feminine,0.384
2024-07-01,GB,Practical Guidance,masculine,0.616
2024-07-01,GB,Seeking information,feminine,0.360
2024-07-01,GB,Seeking information,masculine,0.640
2024-07-01,GB,Self-expression,feminine,0.405
2024-07-01,GB,Self-expression,masculine,0.595
2024-07-01,GB,Technical help,feminine,0.220
2024-07-01,GB,Technical help,masculine,0.780
2024-07-01,GB,Writing,feminine,0.495
2024-07-01,GB,Writing,masculine,0.505
2024-07-01,GH,Practical Guidance,feminine,0.398
2024-07-01,GH,Practical Guidance,masculine,0.602
2024-07-01,GH,Seeking information,feminine,0.440
2024-07-01,GH,Seeking information,masculine,0.560
2024-07-01,GH,Writing,feminine,0.404
2024-07-01,GH,Writing,masculine,0.596
2024-07-01,GR,Practical Guidance,feminine,0.364
2024-07-01,GR,Practical Guidance,masculine,0.636
2024-07-01,GR,Writing,feminine,0.469
2024-07-01,GR,Writing,masculine,0.531
2024-07-01,GT,Practical Guidance,feminine,0.477
2024-07-01,GT,Practical Guidance,masculine,0.523
2024-07-01,GT,Seeking information,feminine,0.441
2024-07-01,GT,Seeking information,masculine,0.559
2024-07-01,GT,Writing,feminine,0.504
2024-07-01,GT,Writing,masculine,0.496
2024-07-01,HN,Practical Guidance,feminine,0.416
2024-07-01,HN,Practical Guidance,masculine,0.584
2024-07-01,HN,Seeking information,feminine,0.639
2024-07-01,HN,Seeking information,masculine,0.361
2024-07-01,HN,Writing,feminine,0.630
2024-07-01,HN,Writing,masculine,0.370
2024-07-01,HU,Practical Guidance,feminine,0.298
2024-07-01,HU,Practical Guidance,masculine,0.702
2024-07-01,HU,Writing,feminine,0.371
2024-07-01,HU,Writing,masculine,0.629
2024-07-01,ID,Other/Unknown,feminine,0.399
2024-07-01,ID,Other/Unknown,masculine,0.601
2024-07-01,ID,Practical Guidance,feminine,0.545
2024-07-01,ID,Practical Guidance,masculine,0.455
2024-07-01,ID,Seeking information,feminine,0.530
2024-07-01,ID,Seeking information,masculine,0.470
2024-07-01,ID,Self-expression,feminine,0.513
2024-07-01,ID,Self-expression,masculine,0.487
2024-07-01,ID,Technical help,feminine,0.371
2024-07-01,ID,Technical help,masculine,0.629
2024-07-01,ID,Writing,feminine,0.561
2024-07-01,ID,Writing,masculine,0.439
2024-07-01,IE,Practical Guidance,feminine,0.400
2024-07-01,IE,Practical Guidance,masculine,0.600
2024-07-01,IE,Writing,feminine,0.549
2024-07-01,IE,Writing,masculine,0.451
2024-07-01,IL,Practical Guidance,feminine,0.355
2024-07-01,IL,Practical Guidance,masculine,0.645
2024-07-01,IL,Seeking information,feminine,0.318
2024-07-01,IL,Seeking information,masculine,0.682
2024-07-01,IL,Technical help,feminine,0.254
2024-07-01,IL,Technical help,masculine,0.746
2024-07-01,IL,Writing,feminine,0.430
2024-07-01,IL,Writing,masculine,0.570
2024-07-01,IN,Multimedia,feminine,0.318
2024-07-01,IN,Multimedia,masculine,0.682
2024-07-01,IN,Other/Unknown,feminine,0.378
2024-07-01,IN,Other/Unknown,masculine,0.622
2024-07-01,IN,Practical Guidance,feminine,0.418
2024-07-01,IN,Practical Guidance,masculine,0.582
2024-07-01,IN,Seeking information,feminine,0.388
2024-07-01,IN,Seeking information,masculine,0.612
2024-07-01,IN,Self-expression,feminine,0.432
2024-07-01,IN,Self-expression,masculine,0.568
2024-07-01,IN,Technical help,feminine,0.293
2024-07-01,IN,Technical help,masculine,0.707
2024-07-01,IN,Writing,feminine,0.424
2024-07-01,IN,Writing,masculine,0.576
2024-07-01,IQ,Practical Guidance,feminine,0.403
2024-07-01,IQ,Practical Guidance,masculine,0.597
2024-07-01,IT,Other/Unknown,feminine,0.359
2024-07-01,IT,Other/Unknown,masculine,0.641
2024-07-01,IT,Practical Guidance,feminine,0.429
2024-07-01,IT,Practical Guidance,masculine,0.571
2024-07-01,IT,Seeking information,feminine,0.470
2024-07-01,IT,Seeking information,masculine,0.530
2024-07-01,IT,Self-expression,feminine,0.584
2024-07-01,IT,Self-expression,masculine,0.416
2024-07-01,IT,Technical help,feminine,0.383
2024-07-01,IT,Technical help,masculine,0.617
2024-07-01,IT,Writing,feminine,0.548
2024-07-01,IT,Writing,masculine,0.452
2024-07-01,JO,Writing,feminine,0.456
2024-07-01,JO,Writing,masculine,0.544
2024-07-01,JP,Practical Guidance,feminine,0.304
2024-07-01,JP,Practical Guidance,masculine,0.696
2024-07-01,JP,Seeking information,feminine,0.298
2024-07-01,JP,Seeking information,masculine,0.702
2024-07-01,JP,Technical help,feminine,0.277
2024-07-01,JP,Technical help,masculine,0.723
2024-07-01,JP,Writing,feminine,0.397
2024-07-01,JP,Writing,masculine,0.603
2024-07-01,KE,Practical Guidance,feminine,0.487
2024-07-01,KE,Practical Guidance,masculine,0.513
2024-07-01,KE,Seeking information,feminine,0.398
2024-07-01,KE,Seeking information,masculine,0.602
2024-07-01,KE,Technical help,feminine,0.275
2024-07-01,KE,Technical help,masculine,0.725
2024-07-01,KE,Writing,feminine,0.457
2024-07-01,KE,Writing,masculine,0.543
2024-07-01,KR,Practical Guidance,feminine,0.385
2024-07-01,KR,Practical Guidance,masculine,0.615
2024-07-01,KR,Seeking information,feminine,0.366
2024-07-01,KR,Seeking information,masculine,0.634
2024-07-01,KR,Technical help,feminine,0.342
2024-07-01,KR,Technical help,masculine,0.658
2024-07-01,KR,Writing,feminine,0.491
2024-07-01,KR,Writing,masculine,0.509
2024-07-01,KZ,Practical Guidance,feminine,0.424
2024-07-01,KZ,Practical Guidance,masculine,0.576
2024-07-01,KZ,Writing,feminine,0.483
2024-07-01,KZ,Writing,masculine,0.517
2024-07-01,LB,Writing,feminine,0.577
2024-07-01,LB,Writing,masculine,0.423
2024-07-01,LK,Practical Guidance,feminine,0.529
2024-07-01,LK,Practical Guidance,masculine,0.471
2024-07-01,LK,Writing,feminine,0.575
2024-07-01,LK,Writing,masculine,0.425
2024-07-01,MA,Practical Guidance,feminine,0.368
2024-07-01,MA,Practical Guidance,masculine,0.632
2024-07-01,MA,Seeking information,feminine,0.353
2024-07-01,MA,Seeking information,masculine,0.647
2024-07-01,MA,Technical help,feminine,0.342
2024-07-01,MA,Technical help,masculine,0.658
2024-07-01,MA,Writing,feminine,0.462
2024-07-01,MA,Writing,masculine,0.538
2024-07-01,MX,Multimedia,feminine,0.377
2024-07-01,MX,Multimedia,masculine,0.623
2024-07-01,MX,Other/Unknown,feminine,0.396
2024-07-01,MX,Other/Unknown,masculine,0.604
2024-07-01,MX,Practical Guidance,feminine,0.439
2024-07-01,MX,Practical Guidance,masculine,0.561
2024-07-01,MX,Seeking information,feminine,0.373
2024-07-01,MX,Seeking information,masculine,0.627
2024-07-01,MX,Self-expression,feminine,0.399
2024-07-01,MX,Self-expression,masculine,0.601
2024-07-01,MX,Technical help,feminine,0.226
2024-07-01,MX,Technical help,masculine,0.774
2024-07-01,MX,Writing,feminine,0.484
2024-07-01,MX,Writing,masculine,0.516
2024-07-01,MY,Practical Guidance,feminine,0.522
2024-07-01,MY,Practical Guidance,masculine,0.478
2024-07-01,MY,Seeking information,feminine,0.467
2024-07-01,MY,Seeking information,masculine,0.533
2024-07-01,MY,Technical help,feminine,0.327
2024-07-01,MY,Technical help,masculine,0.673
2024-07-01,MY,Writing,feminine,0.529
2024-07-01,MY,Writing,masculine,0.471
2024-07-01,NG,Practical Guidance,feminine,0.394
2024-07-01,NG,Practical Guidance,masculine,0.606
2024-07-01,NG,Seeking information,feminine,0.320
2024-07-01,NG,Seeking information,masculine,0.680
2024-07-01,NG,Technical help,feminine,0.190
2024-07-01,NG,Technical help,masculine,0.810
2024-07-01,NG,Writing,feminine,0.329
2024-07-01,NG,Writing,masculine,0.671
2024-07-01,NL,Practical Guidance,feminine,0.426
2024-07-01,NL,Practical Guidance,masculine,0.574
2024-07-01,NL,Seeking information,feminine,0.340
2024-07-01,NL,Seeking information,masculine,0.660
2024-07-01,NL,Technical help,feminine,0.205
2024-07-01,NL,Technical help,masculine,0.795
2024-07-01,NL,Writing,feminine,0.476
2024-07-01,NL,Writing,masculine,0.524
2024-07-01,NO,Practical Guidance,feminine,0.259
2024-07-01,NO,Practical Guidance,masculine,0.741
2024-07-01,NO,Writing,feminine,0.512
2024-07-01,NO,Writing,masculine,0.488
2024-07-01,NP,Practical Guidance,feminine,0.333
2024-07-01,NP,Practical Guidance,masculine,0.667
2024-07-01,NP,Seeking information,feminine,0.577
2024-07-01,NP,Seeking information,masculine,0.423
2024-07-01,NP,Writing,feminine,0.452
2024-07-01,NP,Writing,masculine,0.548
2024-07-01,NZ,Practical Guidance,feminine,0.507
2024-07-01,NZ,Practical Guidance,masculine,0.493
2024-07-01,NZ,Writing,feminine,0.513
2024-07-01,NZ,Writing,masculine,0.487
2024-07-01,PA,Practical Guidance,feminine,0.602
2024-07-01,PA,Practical Guidance,masculine,0.398
2024-07-01,PA,Seeking information,feminine,0.547
2024-07-01,PA,Seeking information,masculine,0.453
2024-07-01,PA,Writing,feminine,0.598
2024-07-01,PA,Writing,masculine,0.402
2024-07-01,PE,Other/Unknown,feminine,0.419
2024-07-01,PE,Other/Unknown,masculine,0.581
2024-07-01,PE,Practical Guidance,feminine,0.493
2024-07-01,PE,Practical Guidance,masculine,0.507
2024-07-01,PE,Seeking information,feminine,0.445
2024-07-01,PE,Seeking information,masculine,0.555
2024-07-01,PE,Technical help,feminine,0.282
2024-07-01,PE,Technical help,masculine,0.718
2024-07-01,PE,Writing,feminine,0.507
2024-07-01,PE,Writing,masculine,0.493
2024-07-01,PH,Other/Unknown,feminine,0.480
2024-07-01,PH,Other/Unknown,masculine,0.520
2024-07-01,PH,Practical Guidance,feminine,0.531
2024-07-01,PH,Practical Guidance,masculine,0.469
2024-07-01,PH,Seeking information,feminine,0.456
2024-07-01,PH,Seeking information,masculine,0.544
2024-07-01,PH,Self-expression,feminine,0.533
2024-07-01,PH,Self-expression,masculine,0.467
2024-07-01,PH,Technical help,feminine,0.277
2024-07-01,PH,Technical help,masculine,0.723
2024-07-01,PH,Writing,feminine,0.591
2024-07-01,PH,Writing,masculine,0.409
2024-07-01,PK,Other/Unknown,feminine,0.373
2024-07-01,PK,Other/Unknown,masculine,0.627
2024-07-01,PK,Practical Guidance,feminine,0.406
2024-07-01,PK,Practical Guidance,masculine,0.594
2024-07-01,PK,Seeking information,feminine,0.342
2024-07-01,PK,Seeking information,masculine,0.658
2024-07-01,PK,Technical help,feminine,0.216
2024-07-01,PK,Technical help,masculine,0.784
2024-07-01,PK,Writing,feminine,0.365
2024-07-01,PK,Writing,masculine,0.635
2024-07-01,PL,Practical Guidance,feminine,0.485
2024-07-01,PL,Practical Guidance,masculine,0.515
2024-07-01,PL,Seeking information,feminine,0.420
2024-07-01,PL,Seeking information,masculine,0.580
2024-07-01,PL,Technical help,feminine,0.207
2024-07-01,PL,Technical help,masculine,0.793
2024-07-01,PL,Writing,feminine,0.554
2024-07-01,PL,Writing,masculine,0.446
2024-07-01,PT,Practical Guidance,feminine,0.482
2024-07-01,PT,Practical Guidance,masculine,0.518
2024-07-01,PT,Seeking information,feminine,0.465
2024-07-01,PT,Seeking information,masculine,0.535
2024-07-01,PT,Technical help,feminine,0.205
2024-07-01,PT,Technical help,masculine,0.795
2024-07-01,PT,Writing,feminine,0.556
2024-07-01,PT,Writing,masculine,0.444
2024-07-01,RO,Practical Guidance,feminine,0.465
2024-07-01,RO,Practical Guidance,masculine,0.535
2024-07-01,RO,Seeking information,feminine,0.451
2024-07-01,RO,Seeking information,masculine,0.549
2024-07-01,RO,Technical help,feminine,0.326
2024-07-01,RO,Technical help,masculine,0.674
2024-07-01,RO,Writing,feminine,0.579
2024-07-01,RO,Writing,masculine,0.421
2024-07-01,RS,Writing,feminine,0.591
2024-07-01,RS,Writing,masculine,0.409
2024-07-01,SA,Practical Guidance,feminine,0.328
2024-07-01,SA,Practical Guidance,masculine,0.672
2024-07-01,SA,Seeking information,feminine,0.335
2024-07-01,SA,Seeking information,masculine,0.665
2024-07-01,SA,Writing,feminine,0.317
2024-07-01,SA,Writing,masculine,0.683
2024-07-01,SE,Practical Guidance,feminine,0.356
2024-07-01,SE,Practical Guidance,masculine,0.644
2024-07-01,SE,Seeking information,feminine,0.361
2024-07-01,SE,Seeking information,masculine,0.639
2024-07-01,SE,Technical help,feminine,0.121
2024-07-01,SE,Technical help,masculine,0.879
2024-07-01,SE,Writing,feminine,0.433
2024-07-01,SE,Writing,masculine,0.567
2024-07-01,SG,Practical Guidance,feminine,0.426
2024-07-01,SG,Practical Guidance,masculine,0.574
2024-07-01,SG,Seeking information,feminine,0.399
2024-07-01,SG,Seeking information,masculine,0.601
2024-07-01,SG,Technical help,feminine,0.282
2024-07-01,SG,Technical help,masculine,0.718
2024-07-01,SG,Writing,feminine,0.455
2024-07-01,SG,Writing,masculine,0.545
2024-07-01,SV,Practical Guidance,feminine,0.410
2024-07-01,SV,Practical Guidance,masculine,0.590
2024-07-01,TH,Practical Guidance,feminine,0.390
2024-07-01,TH,Practical Guidance,masculine,0.610
2024-07-01,TH,Writing,feminine,0.476
2024-07-01,TH,Writing,masculine,0.524
2024-07-01,TN,Writing,feminine,0.467
2024-07-01,TN,Writing,masculine,0.533
2024-07-01,TR,Other/Unknown,feminine,0.241
2024-07-01,TR,Other/Unknown,masculine,0.759
2024-07-01,TR,Practical Guidance,feminine,0.334
2024-07-01,TR,Practical Guidance,masculine,0.666
2024-07-01,TR,Seeking information,feminine,0.278
2024-07-01,TR,Seeking information,masculine,0.722
2024-07-01,TR,Self-expression,feminine,0.342
2024-07-01,TR,Self-expression,masculine,0.658
2024-07-01,TR,Technical help,feminine,0.177
2024-07-01,TR,Technical help,masculine,0.823
2024-07-01,TR,Writing,feminine,0.376
2024-07-01,TR,Writing,masculine,0.624
2024-07-01,TW,Practical Guidance,feminine,0.351
2024-07-01,TW,Practical Guidance,masculine,0.649
2024-07-01,TW,Technical help,feminine,0.204
2024-07-01,TW,Technical help,masculine,0.796
2024-07-01,TW,Writing,feminine,0.448
2024-07-01,TW,Writing,masculine,0.552
2024-07-01,UA,Practical Guidance,feminine,0.483
2024-07-01,UA,Practical Guidance,masculine,0.517
2024-07-01,UA,Seeking information,feminine,0.388
2024-07-01,UA,Seeking information,masculine,0.612
2024-07-01,UA,Technical help,feminine,0.170
2024-07-01,UA,Technical help,masculine,0.830
2024-07-01,UA,Writing,feminine,0.509
2024-07-01,UA,Writing,masculine,0.491
2024-07-01,US,Multimedia,feminine,0.287
2024-07-01,US,Multimedia,masculine,0.713
2024-07-01,US,Other/Unknown,feminine,0.336
2024-07-01,US,Other/Unknown,masculine,0.664
2024-07-01,US,Practical Guidance,feminine,0.429
2024-07-01,US,Practical Guidance,masculine,0.571
2024-07-01,US,Seeking information,feminine,0.367
2024-07-01,US,Seeking information,masculine,0.633
2024-07-01,US,Self-expression,feminine,0.462
2024-07-01,US,Self-expression,masculine,0.538
2024-07-01,US,Technical help,feminine,0.301
2024-07-01,US,Technical help,masculine,0.699
2024-07-01,US,Writing,feminine,0.505
2024-07-01,US,Writing,masculine,0.495
2024-07-01,UY,Practical Guidance,feminine,0.519
2024-07-01,UY,Practical Guidance,masculine,0.481
2024-07-01,UY,Writing,feminine,0.587
2024-07-01,UY,Writing,masculine,0.413
2024-07-01,VN,Practical Guidance,feminine,0.454
2024-07-01,VN,Practical Guidance,masculine,0.546
2024-07-01,VN,Seeking information,feminine,0.372
2024-07-01,VN,Seeking information,masculine,0.628
2024-07-01,VN,Self-expression,feminine,0.681
2024-07-01,VN,Self-expression,masculine,0.319
2024-07-01,VN,Technical help,feminine,0.249
2024-07-01,VN,Technical help,masculine,0.751
2024-07-01,VN,Writing,feminine,0.493
2024-07-01,VN,Writing,masculine,0.507
2024-07-01,ZA,Practical Guidance,feminine,0.441
2024-07-01,ZA,Practical Guidance,masculine,0.559
2024-07-01,ZA,Seeking information,feminine,0.434
2024-07-01,ZA,Seeking information,masculine,0.566
2024-07-01,ZA,Technical help,feminine,0.292
2024-07-01,ZA,Technical help,masculine,0.708
2024-07-01,ZA,Writing,feminine,0.530
2024-07-01,ZA,Writing,masculine,0.470
2024-08-01,AE,Practical Guidance,feminine,0.399
2024-08-01,AE,Practical Guidance,masculine,0.601
2024-08-01,AE,Seeking information,feminine,0.363
2024-08-01,AE,Seeking information,masculine,0.637
2024-08-01,AE,Writing,feminine,0.458
2024-08-01,AE,Writing,masculine,0.542
2024-08-01,AR,Other/Unknown,feminine,0.409
2024-08-01,AR,Other/Unknown,masculine,0.591
2024-08-01,AR,Practical Guidance,feminine,0.477
2024-08-01,AR,Practical Guidance,masculine,0.523
2024-08-01,AR,Seeking information,feminine,0.460
2024-08-01,AR,Seeking information,masculine,0.540
2024-08-01,AR,Self-expression,feminine,0.461
2024-08-01,AR,Self-expression,masculine,0.539
2024-08-01,AR,Technical help,feminine,0.225
2024-08-01,AR,Technical help,masculine,0.775
2024-08-01,AR,Writing,feminine,0.538
2024-08-01,AR,Writing,masculine,0.462
2024-08-01,AT,Practical Guidance,feminine,0.386
2024-08-01,AT,Practical Guidance,masculine,0.614
2024-08-01,AT,Seeking information,feminine,0.447
2024-08-01,AT,Seeking information,masculine,0.553
2024-08-01,AT,Writing,feminine,0.560
2024-08-01,AT,Writing,masculine,0.440
2024-08-01,AU,Other/Unknown,feminine,0.410
2024-08-01,AU,Other/Unknown,masculine,0.590
2024-08-01,AU,Practical Guidance,feminine,0.496
2024-08-01,AU,Practical Guidance,masculine,0.504
2024-08-01,AU,Seeking information,feminine,0.458
2024-08-01,AU,Seeking information,masculine,0.542
2024-08-01,AU,Self-expression,feminine,0.415
2024-08-01,AU,Self-expression,masculine,0.585
2024-08-01,AU,Technical help,feminine,0.270
2024-08-01,AU,Technical help,masculine,0.730
2024-08-01,AU,Writing,feminine,0.584
2024-08-01,AU,Writing,masculine,0.416
2024-08-01,BD,Practical Guidance,feminine,0.281
2024-08-01,BD,Practical Guidance,masculine,0.719
2024-08-01,BD,Seeking information,feminine,0.282
2024-08-01,BD,Seeking information,masculine,0.718
2024-08-01,BD,Self-expression,feminine,0.421
2024-08-01,BD,Self-expression,masculine,0.579
2024-08-01,BD,Technical help,feminine,0.182
2024-08-01,BD,Technical help,masculine,0.818
2024-08-01,BD,Writing,feminine,0.352
2024-08-01,BD,Writing,masculine,0.648
2024-08-01,BE,Practical Guidance,feminine,0.506
2024-08-01,BE,Practical Guidance,masculine,0.494
2024-08-01,BE,Seeking information,feminine,0.446
2024-08-01,BE,Seeking information,masculine,0.554
2024-08-01,BE,Writing,feminine,0.534
